"","OTU","Sample","Abundance","Condition","Site","Time","Condition_time","Condition_site","Kingdom","Phylum"
"482","x1938","X3300045931_Drought_Site2_0hr",0.0621914468767993,"Drought","Site2","0hr","Drought_0hr","Drought_Site2","Bacteria","Actinobacteria"
"773","x2741","X3300045968_PreDrought_Site3_48hr",0.0613934659689195,"PreDrought","Site3","48hr","PreDrought_48hr","PreDrought_Site3","Bacteria","Planctomycetes"
"770","x2741","X3300045953_Drought_Site3_48hr",0.0604699870843686,"Drought","Site3","48hr","Drought_48hr","Drought_Site3","Bacteria","Planctomycetes"
"777","x2741","X3300045965_PreDrought_Site3_48hr",0.0593956180398947,"PreDrought","Site3","48hr","PreDrought_48hr","PreDrought_Site3","Bacteria","Planctomycetes"
"783","x2741","X3300045952_Drought_Site2_6hr",0.0593775775318855,"Drought","Site2","6hr","Drought_6hr","Drought_Site2","Bacteria","Planctomycetes"
"769","x2741","X3300045927_Drought_Site2_6hr",0.0588383579802614,"Drought","Site2","6hr","Drought_6hr","Drought_Site2","Bacteria","Planctomycetes"
"778","x2741","X3300045934_PreDrought_Site3_6hr",0.0586299943912411,"PreDrought","Site3","6hr","PreDrought_6hr","PreDrought_Site3","Bacteria","Planctomycetes"
"473","x1938","X3300045955_Drought_Site3_0hr",0.058494470864981,"Drought","Site3","0hr","Drought_0hr","Drought_Site3","Bacteria","Actinobacteria"
"491","x1938","X3300045936_Drought_Site2_0hr",0.0584265575929816,"Drought","Site2","0hr","Drought_0hr","Drought_Site2","Bacteria","Actinobacteria"
"788","x2741","X3300049733_Drought_Site2_48hr",0.057421365482801,"Drought","Site2","48hr","Drought_48hr","Drought_Site2","Bacteria","Planctomycetes"
"471","x1938","X3300045946_Drought_Site3_48hr",0.0555517347900709,"Drought","Site3","48hr","Drought_48hr","Drought_Site3","Bacteria","Actinobacteria"
"768","x2741","X3300045910_PreDrought_Site1_0hr",0.0554412579683026,"PreDrought","Site1","0hr","PreDrought_0hr","PreDrought_Site1","Bacteria","Planctomycetes"
"489","x1938","X3300045927_Drought_Site2_6hr",0.0550678713655633,"Drought","Site2","6hr","Drought_6hr","Drought_Site2","Bacteria","Actinobacteria"
"488","x1938","X3300046482_Drought_Site3_6hr",0.0542713707302482,"Drought","Site3","6hr","Drought_6hr","Drought_Site3","Bacteria","Actinobacteria"
"472","x1938","X3300049734_Drought_Site3_0hr",0.0541536312849162,"Drought","Site3","0hr","Drought_0hr","Drought_Site3","Bacteria","Actinobacteria"
"779","x2741","X3300049732_PreDrought_0hr",0.0513220951000283,"PreDrought","Site2","0hr","PreDrought_0hr","PreDrought_Site2","Bacteria","Planctomycetes"
"764","x2741","X3300045932_PreDrought_Site2_6hr",0.0512204114036184,"PreDrought","Site2","6hr","PreDrought_6hr","PreDrought_Site2","Bacteria","Planctomycetes"
"780","x2741","X3300045936_Drought_Site2_0hr",0.0506180403294623,"Drought","Site2","0hr","Drought_0hr","Drought_Site2","Bacteria","Planctomycetes"
"576","x2038","X3300045929_PreDrought_Site1_48hr",0.0492533623227033,"PreDrought","Site1","48hr","PreDrought_48hr","PreDrought_Site1","Bacteria","Nitrospirae"
"487","x1938","X3300045884_Drought_Site1_6hr",0.0472019283943158,"Drought","Site1","6hr","Drought_6hr","Drought_Site1","Bacteria","Actinobacteria"
"572","x2038","X3300049730_PreDrought_Site1_6hr",0.0467147781917191,"PreDrought","Site1","6hr","PreDrought_6hr","PreDrought_Site1","Bacteria","Nitrospirae"
"498","x1938","X3300045977_Drought_Site1_0hr",0.0464628366537772,"Drought","Site1","0hr","Drought_0hr","Drought_Site1","Bacteria","Actinobacteria"
"502","x1938","X3300045932_PreDrought_Site2_6hr",0.0461493318851739,"PreDrought","Site2","6hr","PreDrought_6hr","PreDrought_Site2","Bacteria","Actinobacteria"
"481","x1938","X3300045910_PreDrought_Site1_0hr",0.044568657736044,"PreDrought","Site1","0hr","PreDrought_0hr","PreDrought_Site1","Bacteria","Actinobacteria"
"765","x2741","X3300045941_PreDrought_Site2_0hr",0.0445636959747238,"PreDrought","Site2","0hr","PreDrought_0hr","PreDrought_Site2","Bacteria","Planctomycetes"
"666","x2223","X3300045977_Drought_Site1_0hr",0.0444277336510267,"Drought","Site1","0hr","Drought_0hr","Drought_Site1","Bacteria","Verrucomicrobia"
"493","x1938","X3300045947_Drought_Site3_6hr",0.0437129549154342,"Drought","Site3","6hr","Drought_6hr","Drought_Site3","Bacteria","Actinobacteria"
"787","x2741","X3300045944_PreDrought_Site2_48hr",0.0435112091278611,"PreDrought","Site2","48hr","PreDrought_48hr","PreDrought_Site2","Bacteria","Planctomycetes"
"474","x1938","X3300045945_PreDrought_Site3_0hr",0.0434431636335248,"PreDrought","Site3","0hr","PreDrought_0hr","PreDrought_Site3","Bacteria","Actinobacteria"
"781","x2741","X3300045930_PreDrought_Site2_6hr",0.0429052690633328,"PreDrought","Site2","6hr","PreDrought_6hr","PreDrought_Site2","Bacteria","Planctomycetes"
"497","x1938","X3300049732_PreDrought_0hr",0.0426903524332305,"PreDrought","Site2","0hr","PreDrought_0hr","PreDrought_Site2","Bacteria","Actinobacteria"
"561","x2038","X3300045934_PreDrought_Site3_6hr",0.0420239842867861,"PreDrought","Site3","6hr","PreDrought_6hr","PreDrought_Site3","Bacteria","Nitrospirae"
"486","x1938","X3300045941_PreDrought_Site2_0hr",0.041372903248632,"PreDrought","Site2","0hr","PreDrought_0hr","PreDrought_Site2","Bacteria","Actinobacteria"
"495","x1938","X3300045975_PreDrought_Site1_6hr",0.0406073586401237,"PreDrought","Site1","6hr","PreDrought_6hr","PreDrought_Site1","Bacteria","Actinobacteria"
"479","x1938","X3300045965_PreDrought_Site3_48hr",0.0405626462097314,"PreDrought","Site3","48hr","PreDrought_48hr","PreDrought_Site3","Bacteria","Actinobacteria"
"573","x2038","X3300045940_Drought_Site1_0hr",0.0400018940980633,"Drought","Site1","0hr","Drought_0hr","Drought_Site1","Bacteria","Nitrospirae"
"546","x2038","X3300045965_PreDrought_Site3_48hr",0.0391115212534169,"PreDrought","Site3","48hr","PreDrought_48hr","PreDrought_Site3","Bacteria","Nitrospirae"
"501","x1938","X3300045920_PreDrought_Site1_48hr",0.0389646120224922,"PreDrought","Site1","48hr","PreDrought_48hr","PreDrought_Site1","Bacteria","Actinobacteria"
