"","OTU","Sample","Abundance","Condition","Site","Time","Condition_time","Condition_site","Kingdom","Phylum"
"1406","x2741","X3300045910_PreDrought_Site1_0hr",0.0553541954851141,"PreDrought","Site1","0hr","PreDrought_0hr","PreDrought_Site1","Bacteria","Planctomycetes"
"785","x1938","X3300045927_Drought_Site2_6hr",0.0549715032098615,"Drought","Site2","6hr","Drought_6hr","Drought_Site2","Bacteria","Actinobacteria"
"781","x1938","X3300046482_Drought_Site3_6hr",0.0541862866622208,"Drought","Site3","6hr","Drought_6hr","Drought_Site3","Bacteria","Actinobacteria"
"768","x1938","X3300049734_Drought_Site3_0hr",0.0540597816918394,"Drought","Site3","0hr","Drought_0hr","Drought_Site3","Bacteria","Actinobacteria"
"1414","x2741","X3300049732_PreDrought_0hr",0.0512424581493205,"PreDrought","Site2","0hr","PreDrought_0hr","PreDrought_Site2","Bacteria","Planctomycetes"
"1413","x2741","X3300045932_PreDrought_Site2_6hr",0.0511468381394398,"PreDrought","Site2","6hr","PreDrought_6hr","PreDrought_Site2","Bacteria","Planctomycetes"
"1432","x2741","X3300045936_Drought_Site2_0hr",0.050535530631325,"Drought","Site2","0hr","Drought_0hr","Drought_Site2","Bacteria","Planctomycetes"
"907","x2038","X3300045929_PreDrought_Site1_48hr",0.0491627146249495,"PreDrought","Site1","48hr","PreDrought_48hr","PreDrought_Site1","Bacteria","Nitrospirae"
"789","x1938","X3300045884_Drought_Site1_6hr",0.0471250520143164,"Drought","Site1","6hr","Drought_6hr","Drought_Site1","Bacteria","Actinobacteria"
"931","x2038","X3300049730_PreDrought_Site1_6hr",0.0466487112676828,"PreDrought","Site1","6hr","PreDrought_6hr","PreDrought_Site1","Bacteria","Nitrospirae"
"765","x1938","X3300045977_Drought_Site1_0hr",0.0463843871225294,"Drought","Site1","0hr","Drought_0hr","Drought_Site1","Bacteria","Actinobacteria"
"777","x1938","X3300045932_PreDrought_Site2_6hr",0.0460830427458756,"PreDrought","Site2","6hr","PreDrought_6hr","PreDrought_Site2","Bacteria","Actinobacteria"
"759","x1938","X3300045910_PreDrought_Site1_0hr",0.0444986691001963,"PreDrought","Site1","0hr","PreDrought_0hr","PreDrought_Site1","Bacteria","Actinobacteria"
