"","OTU","Sample","Abundance","Condition","Site","Time","Condition_Time","Kingdom"
"15","x3323","X3300045468.Pre_Drought_48hr",0.00117855514449132,"PreDrought","Site2","48hr","PreDrought_48hr","Viruses"
"6","x3323","X3300045459.Drought_6hr",0.000489407860750185,"Drought","Site1","6hr","Drought_6hr","Viruses"
"8","x3323","X3300045466.Pre_drought_0hr",0.000488443922394296,"PreDrought","Site2","0hr","PreDrought_0hr","Viruses"
"1","x3323","X3300044944.Pre_drought_0hr",0.000248806641571414,"PreDrought","Site3","0hr","PreDrought_0hr","Viruses"
"16","x3323","X3300045465.Drought_48_hr",0.000227335761279264,"Drought","Site2","48hr","Drought_48hr","Viruses"
"12","x3323","X3300045464.Drought_0hr",0.000226164597300701,"Drought","Site2","0hr","Drought_0hr","Viruses"
"9","x3323","X3300045460.Drought_48_hr",0.000224649942149394,"Drought","Site1","48hr","Drought_48hr","Viruses"
"26","x3323","X3300048051.Drought_0hr",0.000201385532463348,"Drought","Site1","0hr","Drought_0hr","Viruses"
"14","x3323","X3300045471.Drought_6hr",0.000198235397281758,"Drought","Site3","6hr","Drought_6hr","Viruses"
"5","x3323","X3300044943.Pre_Drought_48hr",0.000190194411766114,"PreDrought","Site3","48hr","PreDrought_48hr","Viruses"
"18","x3323","X3300045472.Drought_48_hr",0.000189087036637186,"Drought","Site3","48hr","Drought_48hr","Viruses"
"33","x3323","X3300049512.Drought_0hr",0.000171869906530676,"Drought","Site3","0hr","Drought_0hr","Viruses"
"21","x3323","X3300045463.Pre_Drought_48hr",0.000161636807308069,"PreDrought","Site2","48hr","PreDrought_48hr","Viruses"
"2","x3323","X3300044945.Drought_6hr",0.000154770538496133,"Drought","Site3","6hr","Drought_6hr","Viruses"
"31","x3323","X3300049511.Drought_6hr",0.000128101580330073,"Drought","Site2","6hr","Drought_6hr","Viruses"
"4","x3323","X3300045458.Pre_Drought_48hr",0.000118568468443387,"PreDrought","Site1","48hr","PreDrought_48hr","Viruses"
"22","x3323","X3300045473.Drought_48_hr",0.000100540345905553,"Drought","Site2","48hr","Drought_48hr","Viruses"
"17","x3323","X3300045462.Pre_drought_6hr",8.99279447863916e-05,"PreDrought","Site2","6hr","PreDrought_6hr","Viruses"
"3","x3323","X3300044942.Pre_drought_6hr",8.16971005775974e-05,"PreDrought","Site3","6hr","PreDrought_6hr","Viruses"
"13","x3323","X3300045461.Pre_drought_0hr",7.92522626715238e-05,"PreDrought","Site2","0hr","PreDrought_0hr","Viruses"
"34","x3323","X3300049557.Drought_48_hr",7.41646401268323e-05,"Drought","Site3","48hr","Drought_48hr","Viruses"
"7","x3323","X3300045469.Drought_0hr",6.90162042782782e-05,"Drought","Site2","0hr","Drought_0hr","Viruses"
"35","x3323","X3300049628.Drought_0hr",6.58992216995409e-05,"Drought","Site1","0hr","Drought_0hr","Viruses"
"10","x3323","X3300045470.Drought_6hr",6.29313491994507e-05,"Drought","Site2","6hr","Drought_6hr","Viruses"
"28","x3323","X3300048095.Drought_6hr",5.63547996300323e-05,"Drought","Site1","6hr","Drought_6hr","Viruses"
"11","x3323","X3300045467.Pre_drought_6hr",5.41641352695804e-05,"PreDrought","Site2","6hr","PreDrought_6hr","Viruses"
