"","OTU","Sample","Abundance","Condition","Site","Time","Condition_time","Condition_site","Kingdom","Phylum"
"2","x1217","X3300045931_Drought_Site2_0hr",0.0832025117739403,"Drought","Site2","0hr","Drought_0hr","Drought_Site2","Eukaryota","Chytridiomycota"
"5","x1217","X3300045930_PreDrought_Site2_6hr",0.08,"PreDrought","Site2","6hr","PreDrought_6hr","PreDrought_Site2","Eukaryota","Chytridiomycota"
"22","x1217","X3300045940_Drought_Site1_0hr",0.0789310130515848,"Drought","Site1","0hr","Drought_0hr","Drought_Site1","Eukaryota","Chytridiomycota"
"31","x1217","X3300049732_PreDrought_0hr",0.0763813651137595,"PreDrought","Site2","0hr","PreDrought_0hr","PreDrought_Site2","Eukaryota","Chytridiomycota"
"4","x1217","X3300045927_Drought_Site2_6hr",0.0752571737953438,"Drought","Site2","6hr","Drought_6hr","Drought_Site2","Eukaryota","Chytridiomycota"
"11","x1217","X3300045945_PreDrought_Site3_0hr",0.0746736292428198,"PreDrought","Site3","0hr","PreDrought_0hr","PreDrought_Site3","Eukaryota","Chytridiomycota"
"28","x1217","X3300049734_Drought_Site3_0hr",0.0737786640079761,"Drought","Site3","0hr","Drought_0hr","Drought_Site3","Eukaryota","Chytridiomycota"
"20","x1217","X3300045965_PreDrought_Site3_48hr",0.0736677115987461,"PreDrought","Site3","48hr","PreDrought_48hr","PreDrought_Site3","Eukaryota","Chytridiomycota"
"33","x1217","X3300049730_PreDrought_Site1_6hr",0.0714285714285714,"PreDrought","Site1","6hr","PreDrought_6hr","PreDrought_Site1","Eukaryota","Chytridiomycota"
"16","x1217","X3300045946_Drought_Site3_48hr",0.0712166172106825,"Drought","Site3","48hr","Drought_48hr","Drought_Site3","Eukaryota","Chytridiomycota"
"21","x1217","X3300045947_Drought_Site3_6hr",0.0697288323187604,"Drought","Site3","6hr","Drought_6hr","Drought_Site3","Eukaryota","Chytridiomycota"
"27","x1217","X3300045941_PreDrought_Site2_0hr",0.0664435946462715,"PreDrought","Site2","0hr","PreDrought_0hr","PreDrought_Site2","Eukaryota","Chytridiomycota"
"15","x1217","X3300045964_Drought_Site1_6hr",0.0656804733727811,"Drought","Site1","6hr","Drought_6hr","Drought_Site1","Eukaryota","Chytridiomycota"
"13","x1217","X3300045929_PreDrought_Site1_48hr",0.0650994575045208,"PreDrought","Site1","48hr","PreDrought_48hr","PreDrought_Site1","Eukaryota","Chytridiomycota"
"6","x1217","X3300045920_PreDrought_Site1_48hr",0.0645802285146548,"PreDrought","Site1","48hr","PreDrought_48hr","PreDrought_Site1","Eukaryota","Chytridiomycota"
"25","x1217","X3300045966_PreDrought_Site3_0hr",0.0633923472301542,"PreDrought","Site3","0hr","PreDrought_0hr","PreDrought_Site3","Eukaryota","Chytridiomycota"
"162","x615","X3300045940_Drought_Site1_0hr",0.0621504039776259,"Drought","Site1","0hr","Drought_0hr","Drought_Site1","Eukaryota","Blastocladiomycota"
"23","x1217","X3300049733_Drought_Site2_48hr",0.0607625099285147,"Drought","Site2","48hr","Drought_48hr","Drought_Site2","Eukaryota","Chytridiomycota"
"35","x1217","X3300045975_PreDrought_Site1_6hr",0.0605421686746988,"PreDrought","Site1","6hr","PreDrought_6hr","PreDrought_Site1","Eukaryota","Chytridiomycota"
"3","x1217","X3300045932_PreDrought_Site2_6hr",0.0565015479876161,"PreDrought","Site2","6hr","PreDrought_6hr","PreDrought_Site2","Eukaryota","Chytridiomycota"
"29","x1217","X3300046482_Drought_Site3_6hr",0.0559957739038563,"Drought","Site3","6hr","Drought_6hr","Drought_Site3","Eukaryota","Chytridiomycota"
"32","x1217","X3300045977_Drought_Site1_0hr",0.0550724637681159,"Drought","Site1","0hr","Drought_0hr","Drought_Site1","Eukaryota","Chytridiomycota"
"24","x1217","X3300045978_Drought_Site1_48hr",0.0526998961578401,"Drought","Site1","48hr","Drought_48hr","Drought_Site1","Eukaryota","Chytridiomycota"
"148","x615","X3300045928_PreDrought_Site1_0hr",0.0375072129255626,"PreDrought","Site1","0hr","PreDrought_0hr","PreDrought_Site1","Eukaryota","Blastocladiomycota"
"165","x615","X3300045966_PreDrought_Site3_0hr",0.0365505425471159,"PreDrought","Site3","0hr","PreDrought_0hr","PreDrought_Site3","Eukaryota","Blastocladiomycota"
"159","x615","X3300045944_PreDrought_Site2_48hr",0.0323167956304051,"PreDrought","Site2","48hr","PreDrought_48hr","PreDrought_Site2","Eukaryota","Blastocladiomycota"
"158","x615","X3300045930_PreDrought_Site2_6hr",0.0321311475409836,"PreDrought","Site2","6hr","PreDrought_6hr","PreDrought_Site2","Eukaryota","Blastocladiomycota"
"167","x615","X3300045941_PreDrought_Site2_0hr",0.0296367112810707,"PreDrought","Site2","0hr","PreDrought_0hr","PreDrought_Site2","Eukaryota","Blastocladiomycota"
"173","x615","X3300045965_PreDrought_Site3_48hr",0.0282131661442006,"PreDrought","Site3","48hr","PreDrought_48hr","PreDrought_Site3","Eukaryota","Blastocladiomycota"
"154","x615","X3300045910_PreDrought_Site1_0hr",0.0263308528906697,"PreDrought","Site1","0hr","PreDrought_0hr","PreDrought_Site1","Eukaryota","Blastocladiomycota"
"178","x615","X3300049731_Drought_Site1_48hr",0.026298044504383,"Drought","Site1","48hr","Drought_48hr","Drought_Site1","Eukaryota","Blastocladiomycota"
"177","x615","X3300049734_Drought_Site3_0hr",0.0249252243270189,"Drought","Site3","0hr","Drought_0hr","Drought_Site3","Eukaryota","Blastocladiomycota"
"145","x615","X3300045926_Drought_Site2_48hr",0.0244926522043387,"Drought","Site2","48hr","Drought_48hr","Drought_Site2","Eukaryota","Blastocladiomycota"
"163","x615","X3300045955_Drought_Site3_0hr",0.0236686390532544,"Drought","Site3","0hr","Drought_0hr","Drought_Site3","Eukaryota","Blastocladiomycota"
"171","x615","X3300045953_Drought_Site3_48hr",0.0229330114665057,"Drought","Site3","48hr","Drought_48hr","Drought_Site3","Eukaryota","Blastocladiomycota"
"146","x615","X3300045920_PreDrought_Site1_48hr",0.022354694485842,"PreDrought","Site1","48hr","PreDrought_48hr","PreDrought_Site1","Eukaryota","Blastocladiomycota"
"168","x615","X3300045964_Drought_Site1_6hr",0.021301775147929,"Drought","Site1","6hr","Drought_6hr","Drought_Site1","Eukaryota","Blastocladiomycota"
"155","x615","X3300045932_PreDrought_Site2_6hr",0.0193498452012384,"PreDrought","Site2","6hr","PreDrought_6hr","PreDrought_Site2","Eukaryota","Phylum < 2%"
"156","x615","X3300045946_Drought_Site3_48hr",0.0189910979228487,"Drought","Site3","48hr","Drought_48hr","Drought_Site3","Eukaryota","Phylum < 2%"
"152","x615","X3300045934_PreDrought_Site3_6hr",0.0187541862022773,"PreDrought","Site3","6hr","PreDrought_6hr","PreDrought_Site3","Eukaryota","Phylum < 2%"
"151","x615","X3300045945_PreDrought_Site3_0hr",0.0182767624020888,"PreDrought","Site3","0hr","PreDrought_0hr","PreDrought_Site3","Eukaryota","Phylum < 2%"
"166","x615","X3300045952_Drought_Site2_6hr",0.017905102954342,"Drought","Site2","6hr","Drought_6hr","Drought_Site2","Eukaryota","Phylum < 2%"
"176","x615","X3300049733_Drought_Site2_48hr",0.0178713264495631,"Drought","Site2","48hr","Drought_48hr","Drought_Site2","Eukaryota","Phylum < 2%"
"161","x615","X3300045947_Drought_Site3_6hr",0.0171555063641395,"Drought","Site3","6hr","Drought_6hr","Drought_Site3","Eukaryota","Phylum < 2%"
"149","x615","X3300045884_Drought_Site1_6hr",0.0167164179104478,"Drought","Site1","6hr","Drought_6hr","Drought_Site1","Eukaryota","Phylum < 2%"
"179","x615","X3300045975_PreDrought_Site1_6hr",0.0162650602409639,"PreDrought","Site1","6hr","PreDrought_6hr","PreDrought_Site1","Eukaryota","Phylum < 2%"
"160","x615","X3300045933_PreDrought_Site2_48hr",0.0154277699859748,"PreDrought","Site2","48hr","PreDrought_48hr","PreDrought_Site2","Eukaryota","Phylum < 2%"
"180","x615","X3300049732_PreDrought_0hr",0.014626218851571,"PreDrought","Site2","0hr","PreDrought_0hr","PreDrought_Site2","Eukaryota","Phylum < 2%"
"164","x615","X3300045978_Drought_Site1_48hr",0.0132398753894081,"Drought","Site1","48hr","Drought_48hr","Drought_Site1","Eukaryota","Phylum < 2%"
"172","x615","X3300045977_Drought_Site1_0hr",0.0130434782608696,"Drought","Site1","0hr","Drought_0hr","Drought_Site1","Eukaryota","Phylum < 2%"
"147","x615","X3300045927_Drought_Site2_6hr",0.0124526258798051,"Drought","Site2","6hr","Drought_6hr","Drought_Site2","Eukaryota","Phylum < 2%"
"170","x615","X3300045967_PreDrought_Site3_6hr",0.0115163147792706,"PreDrought","Site3","6hr","PreDrought_6hr","PreDrought_Site3","Eukaryota","Phylum < 2%"
"157","x615","X3300045936_Drought_Site2_0hr",0.0113636363636364,"Drought","Site2","0hr","Drought_0hr","Drought_Site2","Eukaryota","Phylum < 2%"
"169","x615","X3300046482_Drought_Site3_6hr",0.0105652403592182,"Drought","Site3","6hr","Drought_6hr","Drought_Site3","Eukaryota","Phylum < 2%"
"150","x615","X3300045931_Drought_Site2_0hr",0.010465724751439,"Drought","Site2","0hr","Drought_0hr","Drought_Site2","Eukaryota","Phylum < 2%"
"175","x615","X3300045968_PreDrought_Site3_48hr",0.0100896860986547,"PreDrought","Site3","48hr","PreDrought_48hr","PreDrought_Site3","Eukaryota","Phylum < 2%"
"153","x615","X3300045929_PreDrought_Site1_48hr",0.00994575045207957,"PreDrought","Site1","48hr","PreDrought_48hr","PreDrought_Site1","Eukaryota","Phylum < 2%"
"174","x615","X3300049730_PreDrought_Site1_6hr",0.00714285714285714,"PreDrought","Site1","6hr","PreDrought_6hr","PreDrought_Site1","Eukaryota","Phylum < 2%"
"46","x2049","X3300045944_PreDrought_Site2_48hr",0.00591715976331361,"PreDrought","Site2","48hr","PreDrought_48hr","PreDrought_Site2","Eukaryota","Phylum < 2%"
"47","x2049","X3300045933_PreDrought_Site2_48hr",0.00420757363253857,"PreDrought","Site2","48hr","PreDrought_48hr","PreDrought_Site2","Eukaryota","Phylum < 2%"
"51","x2049","X3300045945_PreDrought_Site3_0hr",0.00365535248041775,"PreDrought","Site3","0hr","PreDrought_0hr","PreDrought_Site3","Eukaryota","Phylum < 2%"
"40","x2049","X3300045884_Drought_Site1_6hr",0.00358208955223881,"Drought","Site1","6hr","Drought_6hr","Drought_Site1","Eukaryota","Phylum < 2%"
"55","x2049","X3300045964_Drought_Site1_6hr",0.0029585798816568,"Drought","Site1","6hr","Drought_6hr","Drought_Site1","Eukaryota","Phylum < 2%"
"62","x2049","X3300045968_PreDrought_Site3_48hr",0.00280269058295964,"PreDrought","Site3","48hr","PreDrought_48hr","PreDrought_Site3","Eukaryota","Phylum < 2%"
"50","x2049","X3300045955_Drought_Site3_0hr",0.00253592561284869,"Drought","Site3","0hr","Drought_0hr","Drought_Site3","Eukaryota","Phylum < 2%"
"38","x2049","X3300045931_Drought_Site2_0hr",0.00209314495028781,"Drought","Site2","0hr","Drought_0hr","Drought_Site2","Eukaryota","Phylum < 2%"
"41","x2049","X3300045910_PreDrought_Site1_0hr",0.00171722953634803,"PreDrought","Site1","0hr","PreDrought_0hr","PreDrought_Site1","Eukaryota","Phylum < 2%"
