KO,p.Weighted,q.Weighted,cor.Weighted,Z.Weighted,p.Standard,q.Standard,cor.Standard,Z.Standard
KO:K13688,0.018505155,0.093369107,0.396074962,2.477926796,0.003022366,0.017960955,0.486794472,3.201337607
KO:K13693,0.976281324,0.999829032,-0.005214877,-0.029957592,0.763613447,0.464496436,-0.052713242,-0.303236111
KO:K13694,0.3492555,0.749807276,0.163078585,0.949526379,0.427734931,0.353991202,0.138434151,0.802974988
KO:K13730,0.949374445,0.999829032,0.011136291,0.063977091,0.188520778,0.223011814,-0.227605629,-1.342737079
KO:K13735,0.787968499,0.999829032,0.047147783,0.271144929,0.789282941,0.473582147,0.04684875,0.269421407
KO:K13747,0.759486999,0.999829032,0.053661091,0.308704275,0.55369364,0.399084291,0.103598326,0.598346647
KO:K13766,0.000282563,0.003164544,0.577289479,4.061377704,0.093997744,0.14914755,0.2875013,1.724371776
KO:K13770,0.867140884,0.999829032,0.029336761,0.168599429,0.940974289,0.515602428,0.012987099,0.074611495
KO:K13771,0.184023143,0.497273136,0.229879896,1.356898555,0.039736211,0.085586752,0.349260838,2.141191113
KO:K13774,0.911860121,0.999829032,0.019413783,0.111544713,0.572960743,0.405373575,0.098631283,0.569369803
KO:K13775,0.148398629,0.43126001,0.249463615,1.479845919,0.246340024,0.260782178,0.20125091,1.18024663
KO:K13787,0.442067928,0.860229314,0.134219925,0.778075127,0.835370946,0.486949175,0.036439426,0.209467683
KO:K13788,0.100590931,0.331172352,0.282123131,1.689296247,0.165239222,0.207111506,0.239828447,1.419126338
KO:K13789,0.017287984,0.088030144,0.399950881,2.506766186,0.005112512,0.024701464,0.462860203,2.999588871
KO:K13796,0.823370287,0.999829032,0.039136673,0.224995448,0.603313958,0.414583613,0.090956182,0.52467833
KO:K13798,0.986636848,0.999829032,-0.002937791,-0.016876396,0.400157614,0.343459397,0.146770202,0.852361168
KO:K13810,0.681668354,0.999829032,0.071854161,0.413840443,1,0.530269633,0,0
KO:K13815,0.470041091,0.895481429,0.126203778,0.730828972,0.131357276,0.179701899,-0.260062467,-1.547180849
KO:K13816,0.087631889,0.300507585,0.292975109,1.760253678,0.558492209,0.400619492,-0.102353903,-0.591082744
KO:K13821,0.914971144,0.999829032,0.01872601,0.107591606,0.599186388,0.413654083,0.091989775,0.53069118
KO:K13832,0.025082102,0.116981915,0.378199055,2.346906278,0.01363318,0.04351213,0.413150016,2.606195923
KO:K13853,0.337753688,0.734041246,0.166957493,0.97275122,0.040514142,0.086716927,0.347986374,2.132299092
KO:K13886,0.91286522,0.999829032,0.019191549,0.110267362,0.796217743,0.475461814,-0.045273227,-0.260341831
KO:K13888,0.684751077,0.999829032,-0.071120464,-0.409593158,0.920198051,0.510480075,0.017571081,0.100953759
KO:K13889,0.821228458,0.999829032,0.039618981,0.227772549,0.413128896,0.348280404,0.14281015,0.828877765
KO:K13893,0.046138509,0.183370996,0.339316735,2.072163163,0.067921949,0.119491155,0.312145078,1.887444146
KO:K13894,0.063068562,0.231869712,0.317524906,1.923587497,0.010413514,0.037148671,0.427535294,2.716821825
KO:K13895,0.00124329,0.010658739,0.523720967,3.531616016,0.002248822,0.015272507,0.499544539,3.312598373
KO:K13896,2.53E-05,0.000464364,0.64841617,4.89286155,9.68E-05,0.002436755,0.610990133,4.433680745
KO:K13924,0.823114239,0.999829032,-0.039194317,-0.225327346,0.582799647,0.407794511,-0.096124147,-0.55476008
KO:K13926,0.085702041,0.29519592,0.294694772,1.771565252,0.114687975,0.167266792,0.271464799,1.620291121
KO:K13929,0.000729227,0.006858627,0.544059118,3.724918999,0.000470642,0.005703371,0.559842096,3.881306594
KO:K13950,0.971422433,0.999829032,0.006283569,0.03609707,0.991599752,0.527312123,-0.001846683,-0.010608404
KO:K13953,0.943083643,0.999829032,0.012522223,0.071940333,0.658038474,0.431440349,0.077519473,0.44665954
KO:K13954,0.55741289,0.942187787,0.10263337,0.592713796,0.198520212,0.23034373,0.222682578,1.312161065
KO:K13963,0.17209554,0.477700728,0.236107981,1.395800807,0.014674143,0.045616267,0.409114503,2.575591826
KO:K13979,0.92729828,0.999829032,0.016003378,0.091944184,0.611605436,0.416133671,-0.088888996,-0.51265774
KO:K13985,0.587486381,0.962813634,0.094936525,0.547843243,0.100645458,0.155259585,0.282079787,1.689014274
KO:K13990,0.018251381,0.092329113,0.396865122,2.483793264,0.168175035,0.209274116,0.238222103,1.409047275
KO:K13993,0.943803128,0.999829032,-0.012363676,-0.071029341,0.855016296,0.492207112,0.032041382,0.184158285
KO:K14028,0.703774625,0.999829032,0.066618544,0.38354644,0.917433047,0.509358736,-0.018181938,-0.104464553
KO:K14052,0.658843168,0.999829032,0.077325297,0.445533979,0.185776495,0.220702945,0.228988688,1.351346376
KO:K14055,0.000840291,0.007715942,0.538778321,3.673873489,0.109921534,0.163822528,0.274952035,1.642795924
KO:K14058,0.096800323,0.322251935,0.285181129,1.70921848,0.405918321,0.345493688,0.145002609,0.841874108
KO:K14059,0.006217529,0.03911189,0.4535013,2.923029695,0.001326281,0.010729269,0.521169361,3.507971817
KO:K14083,0.639112947,0.995003082,0.082113271,0.473303173,0.747446764,0.459107334,0.05643544,0.324714436
KO:K14155,0.703435756,0.999829032,0.066698362,0.384008034,0.265682935,0.272354881,-0.193381696,-1.13226638
KO:K14162,0.176102711,0.483627219,0.23398234,1.382503334,0.118756517,0.170286307,0.268573204,1.601682574
KO:K14164,0.740842082,0.999829032,0.057963027,0.333532996,0.158922765,0.202193802,0.243355336,1.441299464
KO:K14165,0.923449677,0.999829032,0.016852976,0.096826725,0.600345892,0.414088871,-0.091699112,-0.529000098
KO:K14166,0.190644793,0.511284273,0.226544863,1.336139815,0.017355666,0.050620119,0.399729465,2.505114419
KO:K14170,0.335715501,0.731958202,0.167653234,0.976921829,0.566414042,0.403279503,0.100310291,0.579159919
KO:K14187,0.002306423,0.017362978,0.498472563,3.303136209,0.038179474,0.083369805,0.351873069,2.159459222
KO:K14194,0.986122381,0.999829032,0.003050903,0.017526186,0.499050016,0.379935307,-0.118152079,-0.683519728
KO:K14195,0.84574356,0.999829032,-0.03411473,-0.196088344,0.495006057,0.378398767,-0.119259798,-0.690019999
