"","X1","X2","X3"
"605","S2P3.C1",0.02541,0.14939
"606",NA,NA,NA
"607","S2P5.C1",0.01899,0.13709
"608",NA,NA,NA
"609","S3P1.C1",0.0393,0.14913
"610",NA,NA,NA
"611","S3P3.C1",0.01393,0.149
"612",NA,NA,NA
"613","S3P5.C1",-0.02321,0.19959
"614",NA,NA,NA
"615","S1P2.C2",0.00069,-0.43353
"616",NA,NA,NA
"617","S1P4.C2",0.00685,-1.07972
"618",NA,NA,NA
"619",NA,NA,NA
"620","S2P2.C2",0.00599,0.13729
"621",NA,NA,NA
"622","S2P4.C2",0.02572,0.14944
"623",NA,NA,NA
"624","S2P6.C2",0.01054,0.14959
"625",NA,NA,NA
"626","S3P2.C2",0.01438,0.19979
"627",NA,NA,NA
"628","S3P4.C2",0.00903,0.14929
"629",NA,NA,NA
"630","S3P6.C2",0.01841,0.14919
"631",NA,NA,NA
"632","S1P2.W",-0.00406,0.14679
"633",NA,NA,NA
"634","S1P4.W",0.00556,0.15391
"635",NA,NA,NA
"636","S1P1.C1",0.01046,0.18535
"637",NA,NA,NA
"638",NA,NA,NA
"639","S1P5.C1",0.00884,-0.41947
"640",NA,NA,NA
"641","S2P1.C1",-0.00351,0.17767
"642",NA,NA,NA
"643","S2P3.C1",0.033,0.17779
"644",NA,NA,NA
"645","S2P5.C1",0.01557,0.16552
"646",NA,NA,NA
"647","S3P1.C1",0.03492,0.17752
"648",NA,NA,NA
"649","S3P3.C1",-0.00119,0.17743
"650",NA,NA,NA
"651","S3P5.C1",0.01055,0.22095
"652",NA,NA,NA
"653","S1P2.C2",-0.0047,-0.41929
"654",NA,NA,NA
"655","S1P4.C2",0.00463,-1.04414
"656",NA,NA,NA
"657",NA,NA,NA
"658","S2P2.C2",0.02212,0.16569
"659",NA,NA,NA
"660","S2P4.C2",0.03352,0.17788
"661",NA,NA,NA
"662","S2P6.C2",0.00147,0.178
"663",NA,NA,NA
"664","S3P2.C2",0.01232,0.22113
"665",NA,NA,NA
"666","S3P4.C2",0.01245,0.17769
"667",NA,NA,NA
"668","S3P6.C2",0.00913,0.17762
"669",NA,NA,NA
"670","S1P2.W",-0.0021,0.1752
"671",NA,NA,NA
"672","S1P4.W",-0.000687,0.18228
"673",NA,NA,NA
"674","S1P1.C1",0.0102,0.20671
"675",NA,NA,NA
"676",NA,NA,NA
"677","S1P5.C1",-0.0045,-0.39818
"678",NA,NA,NA
"679","S2P1.C1",0.000823,0.19904
"680",NA,NA,NA
"681","S2P3.C1",0.02914,0.19922
"682",NA,NA,NA
"683","S2P5.C1",0.01832,0.1869
"684",NA,NA,NA
"685","S3P1.C1",0.03577,0.1989
"686",NA,NA,NA
"687","S3P3.C1",0.0078,0.19877
"688",NA,NA,NA
"689","S3P5.C1",-0.00291,0.24229
"690",NA,NA,NA
"691","S1P2.C2",0.00101,-0.39801
"692",NA,NA,NA
