"","Label","Time","Time_Flux"
"1119","S1P2.C2","time",-1.08346
"1120","S1P2.C2","Flux",-0.00672
"1121","S1P4.C2","time",0.75979
"1122","S1P4.C2","Flux",-0.00357
"1123","S1P6.C2","time",0.75174
"1124","S1P6.C2","Flux",0.01122
"1125","S2P8.C2","time",0.57676
"1126","S2P4.C2","time",0.7173
"1127","S2P4.C2","Flux",0.00261
"1128","S2P6.C2","time",0.77691
"1129","S2P6.C2","Flux",0.00347
"1130","S3P2.C2","time",0.7355
"1131","S3P2.C2","Flux",0.0071
"1132","S3P4.C2","time",0.70377
"1133","S3P6.C2","time",0.82811
"1134","S3P6.C2","Flux",0.00844
"1135","S1P1.C1","time",0.72396
"1136","S1P1.C1","Flux",-0.00482
"1137","S1P3.C1","time",0.75157
"1138","S1P3.C1","Flux",0.00426
"1139","S1P5.C1","time",-1.06941
"1140","S1P5.C1","Flux",-0.00457
"1141","S2P1.C1","time",0.71714
"1142","S2P1.C1","Flux",-0.000999
"1143","S2P3.C1","time",0.78853
"1144","S2P3.C1","Flux",0.00218
"1145","S2P7.C1","time",0.59098
"1146","S3P1.C1","time",0.66795
"1147","S3P3.C1","time",0.79229
"1148","S3P3.C1","Flux",0.01817
"1149","S3P5.C1","time",0.77448
"1150","S3P5.C1","Flux",0.00636
"1151","S1P2.C2","time",-1.0692
"1152","S1P2.C2","Flux",-0.01666
"1153","S1P4.C2","time",0.79897
"1154","S1P4.C2","Flux",-0.00371
"1155","S1P6.C2","time",0.79089
"1156","S1P6.C2","Flux",0.00335
"1157","S2P8.C2","time",0.59809
"1158","S2P4.C2","time",0.75297
"1159","S2P4.C2","Flux",4.68e-05
"1160","S2P6.C2","time",0.8281
"1161","S2P6.C2","Flux",0.01302
"1162","S3P2.C2","time",0.77468
"1163","S3P2.C2","Flux",-0.00154
"1164","S3P4.C2","time",0.74299
"1165","S3P4.C2","Flux",0.03175
"1166","S3P6.C2","time",0.86721
"1167","S3P6.C2","Flux",0.01323
"1168","S1P1.C1","time",0.75959
