"","X1","X2","X3"
"568","S3P4.C2",0.06371,0.14929
"569",NA,NA,NA
"570","S3P6.C2",0.01467,0.14919
"571",NA,NA,NA
"572","S1P2.W",0.00104,0.14679
"573",NA,NA,NA
"574","S1P4.W",-0.000397,0.15391
"575",NA,NA,NA
"576","S1P1.C1",-0.00661,0.18535
"577",NA,NA,NA
"578",NA,NA,NA
"579",NA,NA,NA
"580","S2P1.C1",-0.00523,0.17767
"581",NA,NA,NA
"582","S2P3.C1",-4.03e-05,0.17779
"583",NA,NA,NA
"584",NA,NA,NA
"585","S3P1.C1",0.01466,0.17752
"586",NA,NA,NA
"587","S3P3.C1",-0.00455,0.17743
"588",NA,NA,NA
"589","S3P5.C1",0.00442,0.22095
"590",NA,NA,NA
"591",NA,NA,NA
"592","S1P4.C2",-0.00466,-1.04414
"593",NA,NA,NA
"594",NA,NA,NA
"595","S2P2.C2",0.00591,0.16569
"596",NA,NA,NA
"597","S2P4.C2",0.0815,0.17788
"598",NA,NA,NA
"599","S2P6.C2",0.00726,0.178
"600",NA,NA,NA
"601","S3P2.C2",0.06502,0.22113
"602",NA,NA,NA
"603","S3P4.C2",0.0423,0.17769
"604",NA,NA,NA
"605","S3P6.C2",0.01258,0.17762
"606",NA,NA,NA
"607","S1P2.W",-0.00309,0.1752
"608",NA,NA,NA
"609","S1P4.W",-0.000736,0.18228
"610",NA,NA,NA
"611","S1P1.C1",-0.00617,0.20671
"612",NA,NA,NA
"613",NA,NA,NA
"614",NA,NA,NA
"615","S2P1.C1",0.0058,0.19904
"616",NA,NA,NA
"617","S2P3.C1",0.00142,0.19922
"618",NA,NA,NA
"619",NA,NA,NA
