"","Label","Pyr","Flux","Time","Condition"
"568","S1P6","C2",0.3036,1.20608,"Drought"
"569","S2P2","C2",0.12672,1.11377,"Drought"
"570","S2P4","C2",0.32594,1.16424,"Drought"
"571","S3P2","C2",0.20737,1.24918,"Drought"
"572","S3P4","C2",0.64435,1.11392,"Drought"
"573","S3P6","C2",0.26338,1.14444,"Drought"
"574","S1P1","C1",0.00945,1.19175,"Drought"
"575","S1P3","C1",0.02065,1.1419,"Drought"
"576","S1P5","C1",-0.04477,0.01374,"Drought"
"577","S2P1","C1",0.00479,1.19959,"Drought"
"578","S2P5","C1",0.0066,1.09935,"Drought"
"579","S3P1","C1",0.01905,1.14226,"Drought"
"580","S3P5","C1",-0.01038,1.29635,"Drought"
"581","S1P2","C2",0.00537,0.0139,"Drought"
"582","S1P4","C2",0.04074,0.44538,"Drought"
"583","S1P6","C2",0.29571,1.24881,"Drought"
"584","S2P2","C2",0.14459,1.15652,"Drought"
"585","S2P4","C2",0.36298,1.21404,"Drought"
"586","S3P2","C2",0.1892,1.29655,"Drought"
"587","S3P4","C2",0.57499,1.15669,"Drought"
"588","S3P6","C2",0.22862,1.19419,"Drought"
"589","S1P1","C1",0.00941,1.23447,"Drought"
"590","S1P3","C1",0.01626,1.19168,"Drought"
"591","S1P5","C1",-0.02591,0.02795,"Drought"
"592","S2P1","C1",0.00238,1.24236,"Drought"
"593","S2P5","C1",0.00969,1.14209,"Drought"
"594","S3P1","C1",0.01716,1.19208,"Drought"
"595","S3P5","C1",0.00406,1.33197,"Drought"
"596","S1P2","C2",-0.000292,0.02811,"Drought"
"597","S1P4","C2",0.05504,0.48106,"Drought"
"598","S1P6","C2",0.27009,1.28704,"Drought"
"599","S2P2","C2",0.14247,1.20626,"Drought"
"600","S2P4","C2",0.37939,1.25681,"Drought"
"601","S3P2","C2",0.18057,1.33216,"Drought"
"602","S3P4","C2",0.58511,1.20648,"Drought"
"603","S3P6","C2",0.22556,1.2369,"Drought"
"604","S1P1","C1",0.01181,1.2895,"Drought"
"605","S1P3","C1",0.02498,1.23439,"Drought"
"606","S1P5","C1",0.00288,0.04218,"Drought"
"607","S2P1","C1",-0.01041,1.30278,"Drought"
"608","S2P5","C1",0.01313,1.19183,"Drought"
"609","S3P1","C1",0.02269,1.23486,"Drought"
"610","S3P5","C1",-0.000316,1.37462,"Drought"
"611","S1P2","C2",0.00294,0.04235,"Drought"
"612","S1P4","C2",0.04705,0.52375,"Drought"
"613","S1P6","C2",0.27709,1.32267,"Drought"
"614","S2P2","C2",0.1672,1.24898,"Drought"
"615","S2P4","C2",0.34758,1.30296,"Drought"
"616","S3P2","C2",0.18587,1.37481,"Drought"
"617","S3P4","C2",0.5726,1.24926,"Drought"
"618","S3P6","C2",0.19458,1.29128,"Drought"
"619","S1P1","C1",0.02062,1.32515,"Drought"
"620","S1P3","C1",0.01518,1.28688,"Drought"
"621","S1P5","C1",0.0037,0.05641,"Drought"
"622","S2P1","C1",-0.00478,1.33846,"Drought"
"623","S2P3","C1",0.00115,1.3235,"Drought"
"624","S2P5","C1",0.0138,1.23455,"Drought"
"625","S3P1","C1",0.01142,1.31479,"Drought"
"626","S3P3","C1",-0.01446,1.3267,"Drought"
"627","S3P5","C1",-0.00937,1.41027,"Drought"
"628","S1P2","C2",-0.00241,0.05657,"Drought"
"629","S1P6","C2",0.23932,1.36528,"Drought"
"630","S2P2","C2",0.17714,1.29876,"Drought"
"631","S2P4","C2",0.33289,1.33863,"Drought"
"632","S2P6","C2",0.04644,1.32369,"Drought"
"633","S3P2","C2",0.14044,1.41046,"Drought"
"634","S3P4","C2",0.4959,1.31495,"Drought"
