"","Label","Time","Time_Flux"
"749","S1P4.W","Flux",0.00417
"750","S1P1.C1","time",0.24948
"751","S1P1.C1","Flux",0.03902
"752","S1P3.C1","time",0.24164
"753","S1P5.C1","time",-0.36971
"754","S1P5.C1","Flux",-0.01515
"755","S2P1.C1","time",0.24183
"756","S2P1.C1","Flux",0.00963
"757","S2P3.C1","time",0.24199
"758","S2P3.C1","Flux",0.03317
"759","S2P5.C1","time",0.22959
"760","S2P5.C1","Flux",0.02601
"761","S3P1.C1","time",0.24164
"762","S3P1.C1","Flux",0.07358
"763","S3P3.C1","time",0.24149
"764","S3P3.C1","Flux",0.01225
"765","S3P5.C1","time",0.32222
"766","S3P5.C1","Flux",-0.01159
"767","S1P2.C2","time",-0.36954
"768","S1P2.C2","Flux",0.00181
"769","S1P4.C2","time",-0.50404
"770","S1P4.C2","Flux",0.00565
"771","S1P6.C2","time",0.27385
"772","S2P2.C2","time",0.22976
"773","S2P2.C2","Flux",0.02384
"774","S2P4.C2","time",0.242
"775","S2P4.C2","Flux",0.05092
"776","S2P6.C2","time",0.24215
"777","S2P6.C2","Flux",0.00491
"778","S3P2.C2","time",0.32242
"779","S3P2.C2","Flux",-0.000364
"780","S3P4.C2","time",0.24182
"781","S3P4.C2","Flux",0.01743
"782","S3P6.C2","time",0.24168
"783","S3P6.C2","Flux",0.02004
"784","S1P2.W","time",0.23924
"785","S1P2.W","Flux",-0.00614
"786","S1P4.W","time",0.24638
"787","S1P4.W","Flux",0.000462
"788","S1P1.C1","time",0.28852
"789","S1P1.C1","Flux",0.02153
"790","S1P3.C1","time",0.27368
"791","S1P5.C1","time",-0.35547
"792","S1P5.C1","Flux",0.00441
"793","S2P1.C1","time",0.28213
"794","S2P1.C1","Flux",0.01027
"795","S2P3.C1","time",0.30049
"796","S2P3.C1","Flux",0.06149
"797","S2P5.C1","time",0.258
"798","S2P5.C1","Flux",0.02026
"799","S3P1.C1","time",0.27527
"800","S3P1.C1","Flux",0.04693
"801","S3P3.C1","time",0.27263
"802","S3P3.C1","Flux",0.00923
"803","S3P5.C1","time",0.36493
"804","S3P5.C1","Flux",-0.00388
"805","S1P2.C2","time",-0.3553
"806","S1P2.C2","Flux",0.00406
"807","S1P4.C2","time",-0.42568
"808","S1P4.C2","Flux",0.000335
"809","S1P6.C2","time",0.30943
"810","S1P6.C2","Flux",0.01047
"811","S2P2.C2","time",0.25817
"812","S2P2.C2","Flux",0.03176
"813","S2P4.C2","time",0.2823
"814","S2P4.C2","Flux",0.05405
"815","S2P6.C2","time",0.30069
"816","S2P6.C2","Flux",0.00309
"817","S3P2.C2","time",0.36513
"818","S3P2.C2","Flux",0.0091
"819","S3P4.C2","time",0.27543
"820","S3P4.C2","Flux",0.00644
"821","S3P6.C2","time",0.27281
"822","S3P6.C2","Flux",0.01783
"823","S1P2.W","time",0.26766
"824","S1P2.W","Flux",0.01326
