Mass,Soil_Drought_P11_Site1_0,Soil_Drought_P11_Site1_48,Soil_Drought_P11_Site1_6,Soil_Drought_P12_Site1_0_CTRL,Soil_Drought_P12_Site1_48_CTRL,Soil_Drought_P12_Site1_6_CTRL,Soil_Drought_P15_Site1_0,Soil_Drought_P15_Site1_48,Soil_Drought_P15_Site1_6,Soil_Drought_P24_Site2_0,Soil_Drought_P24_Site2_48,Soil_Drought_P24_Site2_6,Soil_Drought_P26_Site2_0,Soil_Drought_P26_Site2_48,Soil_Drought_P26_Site2_6,Soil_Drought_P34_Site3_0,Soil_Drought_P34_Site3_48,Soil_Drought_P34_Site3_6,Soil_Drought_P35_Site3_0,Soil_Drought_P35_Site3_48,Soil_Drought_P35_Site3_6,Soil_PreDrought_P11_Site1_0,Soil_PreDrought_P11_Site1_48,Soil_PreDrought_P11_Site1_6,Soil_PreDrought_P15_Site1_0,Soil_PreDrought_P15_Site1_48,Soil_PreDrought_P15_Site1_6,Soil_PreDrought_P24_Site2_0,Soil_PreDrought_P24_Site2_48,Soil_PreDrought_P24_Site2_6,Soil_PreDrought_P26_Site2_0,Soil_PreDrought_P26_Site2_48,Soil_PreDrought_P26_Site2_6,Soil_PreDrought_P34_Site3_0,Soil_PreDrought_P34_Site3_48,Soil_PreDrought_P34_Site3_6,Soil_PreDrought_P35_Site3_0,Soil_PreDrought_P35_Site3_48,Soil_PreDrought_P35_Site3_6
515.1406145,0.006875367,0.002220369,-0.000531463,0.01642109,0.008623535,0.006618289,0.004375823,-0.000875351,-0.001284022,-0.001352415,-0.001167699,0.000879674,0.00460424,-0.000740091,-0.000970232,0.013578129,-0.002613581,-0.001482093,0.006935807,0.007224504,-0.0013459,0.000625882,0.001426439,-0.000720601,-0.002602215,-0.001464211,-0.001311862,-0.003217078,-0.002605976,-0.00347083,0.000215731,0.001647022,0.001163258,-0.000177637,-0.002062083,-0.00396802,0.004365121,-0.001507554,-0.000697276
515.1558554,-0.005128044,-0.001705084,-0.000948844,-0.001318255,-0.000290023,-0.000878786,-0.003664488,-0.001821514,-0.00136963,0,-0.002351967,0,-0.000503824,-0.002020271,-0.001296488,0.002224821,-0.003298531,0,-0.0032123,0,-0.001666818,-0.002851608,-0.004147099,-0.001376452,0,0,0,0,-0.00244255,0,-0.001885111,-0.003527992,-0.001074672,0,0,0,-0.002445989,0,0
515.1769812,-0.003273821,-0.001230464,-0.00067439,0.006332744,0.00389254,0.003041881,0.001383423,-0.001331334,-0.001323774,-0.00185097,-0.00190286,-0.000870443,0.000146546,-0.00148517,-0.001399727,0.00329047,-0.00297007,0,0.001876061,-0.004495317,-0.001162077,-0.002087468,-0.003002564,-0.001049961,-0.006062781,-0.003381734,-0.001076779,-0.003146854,-0.002318875,-0.005844482,-0.001104097,-0.000763437,-0.000724435,-0.002289706,-0.002007773,-0.004006395,-0.000593377,-0.002368363,-0.001370207
515.1921868,-0.005322602,-0.003009166,0,0,-0.003405458,0,0,-0.002156643,0,0,0,0,-0.003406741,0,0,0,0,0,-0.004362071,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002034352,-0.006327759,0,0,0,0,0
515.2052505,0,0,0,-0.00836396,0,0,-0.005108374,0,0,0,0,0,-0.003895357,-0.002202845,0,0,0,0,-0.006234682,0,0,0,0,-0.001436958,0,0,0,0,-0.002693076,0,-0.001776787,0,0,0,0,0,0,0,0
515.2133694,-0.003226925,-0.001148606,-0.000890083,0.005659398,0.002364059,0.003500275,0.002888373,-0.000759791,-0.001384973,-0.001095285,-0.001695677,0.001336649,0.001137346,-0.001492675,-0.001433992,0.002250783,-0.002912006,0,0.003701636,-0.006594553,-0.001700463,-0.000933003,-0.001737507,-0.000679178,-0.002615807,-0.001661163,-0.00093139,-0.001729434,0.000445594,-0.001526332,-0.000297329,-0.002227092,-0.00146026,0.000341937,-0.000281439,-0.003774855,0.000449632,-0.000932811,-0.000339218
515.2497939,-0.000135875,-0.001367776,-0.000857727,0.008741309,0.002211108,0.004833749,0.006194587,8.49E-05,-0.001216169,-0.001165938,-0.000954576,0.004908507,0.002629469,-0.00127693,-0.001370656,0.002727465,-0.001582972,-0.00136375,0.006875362,-0.001305257,-0.000793598,0.002607008,-0.001389184,0.000210098,0.001626444,2.54E-05,-0.000267773,0.002726881,0.003396062,0.002947192,0.001042956,0.002190823,-0.001263152,0.003188836,0.000830063,-0.000214091,0.005710693,0.001444776,9.42E-05
515.2862125,0.001186551,-0.002501019,-0.000994579,0.00170592,0.002134021,0.002400566,0.001714691,-0.000810243,-0.001400498,-0.001449443,-0.00158796,0.001674817,7.71E-05,-0.001532962,-0.001414256,-0.002749003,-0.002380601,-0.001506742,0.003257903,-0.003935633,-0.001320304,0.002050438,-0.002202799,-0.000669046,-1.86E-05,-0.002663068,-0.000502664,0.000102206,0.001236715,-0.00291389,0.00058218,-0.00180344,-0.001805717,0.003195333,-0.001047956,-0.001875223,0.00288427,-0.001844831,-0.000285743
515.3225704,-0.005417236,0,0,-0.007042885,-0.003492436,-0.002571806,-0.004708826,-0.001979277,0,-0.001911057,0,-0.001734039,-0.003695471,-0.002097464,0,-0.00599484,0,0,-0.004836024,0,-0.001837276,-0.002330318,0,-0.001218136,0,0,-0.00099245,-0.003092261,-0.001852627,-0.005358307,-0.000997132,0,0,-0.005384111,-0.003310844,-0.004126004,-0.00400318,-0.003454019,-0.001154572
516.0420151,0.004068353,-0.000191475,-0.000756282,0.001636484,0.000441821,-0.000579451,-0.001849596,-0.000803196,0,-0.001995488,-0.002490991,-0.002315669,-0.001930464,-0.001922065,0,-0.002369729,-0.003124596,0,-0.004045494,-0.007256209,-0.001925932,-0.00152576,-0.002649606,-0.000549551,0,-0.003867755,-0.001355183,0,0,-0.006684073,-0.001172745,-0.002594925,-0.00178393,-0.005456472,0,-0.004553363,-0.00370171,-0.004187129,-0.001382825
516.0710504,-0.00589746,0,-0.001150915,-0.009128353,-0.005542204,0,0,0,0,0,0,-0.003688422,0,0,0,0,0,0,-0.006541741,0,0,0,0,-0.001404768,0,0,0,0,0,0,0,0,-0.001847116,0,0,0,0,0,0
