Sample,Pyruv,Condition,Type,Time,Flux
S2P6,C2,pre-drought,sample,0.30757,6.87893
S1P2,C2,pre-drought,sample,0.02757,6.91597
S2P7,C1,pre-drought,sample,0.37016,6.96053
S2P3,C1,drought,sample,1.71508,6.96256
S2P8,C2,pre-drought,sample,-0.12279,6.98538
S2P6,C2,pre-drought,sample,0.95056,6.98718
S1P1,C1,pre-drought,sample,0.12527,7.0324
S3P4,C2,pre-drought,sample,0.21381,7.03638
S1P5,C1,pre-drought,sample,-1.24755,7.04088
S2P6,C2,pre-drought,sample,-0.1369,7.0529
S3P2,C2,pre-drought,sample,0.7355,7.06347
S1P5,C1,drought,sample,0.13454,7.07555
S1P1,C1,pre-drought,sample,-0.25434,7.07585
S3P1,C1,pre-drought,sample,-0.47201,7.07819
S3P6,C2,drought,sample,0.03542,7.0825
S3P1,C1,drought,sample,1.94168,7.08447
S2P8,C2,pre-drought,sample,1.24032,7.11985
S1P2,C2,pre-drought,sample,-0.62392,7.12986
S3P5,C1,drought,sample,1.23472,7.13889
S3P3,C1,pre-drought,sample,0.867,7.15127
S1P4,C2,drought,sample,-1.70606,7.15306
S2P5,C1,drought,sample,2.02438,7.16205
S2P7,C1,pre-drought,sample,1.43595,7.1748
S1P6,C2,pre-drought,sample,0.86565,7.2071
S1P1,C1,drought,sample,1.04949,7.21886
S2P6,C2,pre-drought,sample,-0.21178,7.22936
S1P3,C1,drought,sample,1.40067,7.26593
S1P6,C2,pre-drought,sample,-0.27668,7.28907
S3P1,C1,pre-drought,sample,1.33347,7.29496
S1P5,C1,pre-drought,sample,-0.86294,7.30527
S1P5,C1,drought,sample,0.31922,7.31022
S2P1,C1,drought,sample,0.12791,7.31303
S2P8,C2,pre-drought,sample,0.39861,7.36165
S1P5,C1,pre-drought,sample,-1.17272,7.37786
S2P3,C1,pre-drought,sample,0.96218,7.39808
S2P4,C2,pre-drought,sample,-0.61718,7.41
S3P2,C2,drought,sample,0.08583,7.41377
S1P5,C1,drought,sample,-0.55466,7.49652
S2P7,C1,pre-drought,sample,-0.08367,7.51727
S2P8,C2,pre-drought,sample,0.41995,7.52603
S3P3,C1,pre-drought,sample,2.29421,7.53494
S1.2W,C2,drought,water,0.26766,7.55272
S3P5,C1,pre-drought,sample,0.12394,7.5807
S2P1,C1,pre-drought,sample,1.47455,7.61208
S1P5,C1,drought,sample,0.05641,7.61843
S2P1,C1,pre-drought,sample,1.73821,7.69726
S1P2,C2,drought,sample,-0.647,7.69928
S2P1,C1,pre-drought,sample,15.49392,7.70415
S2P3,C1,pre-drought,sample,1.43111,7.7163
S2P3,C1,drought,sample,0.77064,7.7254
S1P5,C1,pre-drought,sample,-0.75949,7.73365
S1P1,C1,pre-drought,sample,1.18509,7.76653
S2P4,C2,pre-drought,sample,0.90262,7.79343
S2P1,C1,pre-drought,sample,0.79194,7.79454
S1P3,C1,pre-drought,sample,1.22764,7.798
S3P4,C2,pre-drought,sample,-0.14403,7.80791
S2P3,C1,pre-drought,sample,1.91535,7.82812
S1P2,C2,pre-drought,sample,1.78892,7.86866
S2P5,C1,drought,sample,1.32707,7.91558
S3P1,C1,pre-drought,sample,-0.02315,7.93098
S1P3,C1,pre-drought,sample,0.45247,7.93958
S1P5,C1,pre-drought,sample,-0.58146,7.96757
S1P1,C1,drought,sample,1.85981,7.98127
S2P1,C1,pre-drought,sample,0.86679,7.98502
S2P1,C1,drought,sample,-0.68491,8.03479
S1P5,C1,pre-drought,sample,-1.54294,8.04706
S2P8,C2,pre-drought,sample,0.88991,8.04925
S2P6,C2,pre-drought,sample,1.38025,8.05353
S1P3,C1,pre-drought,sample,4.17178,8.05426
S3P4,C2,pre-drought,sample,0.47916,8.06903
S3P2,C2,pre-drought,sample,0.4006,8.08527
S2P4,C2,pre-drought,sample,0.171,8.09525
S3P3,C1,drought,sample,0.149,8.11065
S1P5,C1,pre-drought,sample,0.14503,8.17993
S3P1,C1,pre-drought,sample,0.30275,8.19218
S1P2,C2,pre-drought,sample,0.74059,8.19985
S2P1,C1,pre-drought,sample,10.15161,8.23941
S3P6,C2,pre-drought,sample,0.12501,8.26479
S2P3,C1,drought,sample,1.09926,8.27238
S2P3,C1,drought,sample,1.48006,8.30789
S2P1,C1,pre-drought,sample,9.73039,8.32291
S2P1,C1,pre-drought,sample,11.07749,8.38976
S1P5,C1,pre-drought,sample,1.41468,8.43996
