S1P1.C1_time,S1P1.C1,S1P3.C1_time,S1P3.C1,S1P5.C1_time,S1P5.C1,S2P1.C1_time,S2P1.C1,S2P3.C1_time,S2P3.C1,S2P7.C1_time,S2P7.C1,S3P1.C1_time,S3P1.C1,S3P3.C1_time,S3P3.C1,S3P5.C1_time,S3P5.C1,S1P2.C2_time,S1P2.C2,S1P4.C2_time,S1P4.C2,S1P6.C2_time,S1P6.C2,S2P8.C2_time,S2P8.C2,S2P4.C2_time,S2P4.C2,S2P6.C2_time,S2P6.C2,S3P2.C2_time,S3P2.C2,S3P4.C2_time,S3P4.C2,S3P6.C2_time,S3P6.C2
1.49323,2.00E-04,1.52836,-5.14E-04,-0.78801,-0.00358,1.43889,2.21E-07,1.54148,-0.00157,0.99315,0.01195,1.41993,-0.00892,1.56302,,1.50699,-0.00696,-0.75931,-0.00746,1.56832,,1.63896,,1.00028,0.00587,1.54956,,1.60466,,1.54281,,1.54256,,1.66639,
1.53244,5.23E-05,1.564,,-0.77376,-0.00807,1.47455,0.00639,1.58066,,1.01453,8.56E-04,1.45553,5.58E-04,1.60925,,1.54264,0.00153,-0.74502,0.00496,1.60757,,1.67806,,1.02166,-0.00537,1.58872,,1.64381,,1.58196,,1.59373,,1.71267,0.0096
1.56813,,1.60315,,-0.75949,0.00392,1.51373,-0.0053,1.61631,,1.03588,0.00342,1.50678,0.01285,1.65194,,1.58177,,-0.73075,-0.01448,1.64316,,1.71366,-0.015,1.04301,-4.75E-04,1.62437,,1.6794,,1.61762,,1.62934,,1.75541,-0.01296
1.60741,,1.6388,,-0.74522,0.0128,1.54939,,1.65544,,1.06082,0.00562,1.54238,-0.00719,1.69822,-0.00707,1.61743,,-0.71293,-0.00774,1.6824,,1.75278,-0.00867,1.06796,0.01226,1.66355,,1.71858,0.00366,1.65676,,1.68057,,1.80166,0.0027
1.64296,,1.67789,,-0.73095,-0.00438,1.58854,,1.69103,,1.08219,-0.00157,1.59356,,1.74096,-0.00431,1.65657,,-0.69867,9.86E-05,1.71804,0.00557,1.7884,0.00401,1.08932,0.02192,1.69921,,1.75419,-3.43E-04,1.69242,,1.71619,-7.56E-04,1.84438,-0.00281
1.6822,,1.71348,0.01322,-0.71312,0.08283,1.6242,,1.7302,-0.01505,1.10358,0.00108,1.62918,,1.78721,-4.90E-05,1.69222,,-0.68439,0.0023,1.75726,0.01663,1.82757,0.00681,1.11071,-0.01067,1.73838,-0.0056,1.79334,-1.70E-05,1.73159,0.01172,1.76736,-8.37E-04,1.89063,0.00285
1.71785,0.01542,1.75262,4.46E-04,-0.69888,0.01559,1.66338,,1.76581,-0.00816,1.12493,0.014,1.68041,,1.82994,-0.00884,1.73138,-6.65E-04,-0.6701,-0.00934,1.79291,0.00494,1.86315,-3.97E-04,1.13206,-0.01859,1.77404,-0.00527,1.82895,0.01229,1.76723,0.00408,1.80319,0.00704,1.93334,-0.0027
1.75706,0.00516,1.78823,0.00449,-0.68461,-0.0074,1.69904,,1.80497,-0.01253,1.14985,0.00146,1.71602,5.37E-04,1.87617,0.01447,1.76704,-0.00866,-0.65588,-0.00173,1.83211,-0.01059,1.90225,0.00614,1.15698,-0.00999,1.81322,0.00296,1.86811,0.00992,1.80638,0.00251,1.85612,0.00154,1.97963,0.01232
1.79271,0.01448,1.8274,0.00175,-0.6703,-0.01045,1.73821,0.00431,1.84057,-0.00655,1.1691,-0.00897,1.7672,-0.00362,1.9189,0.00883,1.80619,0.00266,-0.64166,-0.00695,1.86778,-0.00185,1.93792,-0.00753,1.17623,0.00611,1.84884,-0.00523,1.90374,0.00203,1.84204,0.00436,1.89184,-0.00128,2.02236,0.00112
1.83191,0.01079,1.863,0.00824,-0.65606,0.00319,1.77385,0.00276,1.87972,-2.59E-04,1.19045,-0.00158,1.80303,2.41E-04,1.96519,0.0122,1.84185,0.0073,-0.62392,0.00706,1.90696,-8.39E-04,,,1.19758,-0.00774,1.88801,0.00166,1.94289,0.00118,1.88122,0.00258,1.94097,-0.00263,2.06867,0.01497
