Sample,Pyruv,Condition,Type,Time,Flux
S2P3_C1,C1,drought,sample,1.71508,-8.53021
S3P5_C1,C1,pre-drought,sample,-0.49064,-8.53805
S3P3_C1,C1,drought,sample,1.44764,-8.55069
S1P2_C2,C2,pre-drought,sample,-0.28588,-8.58821
S1P2_C2,C2,pre-drought,sample,-0.28588,-8.58821
S2P1_C1,C1,pre-drought,sample,0.45358,-8.59299
S3P5_C1,C1,pre-drought,sample,1.84185,-8.59444
S1P5_C1,C1,pre-drought,sample,1.33987,-8.6103
S2P8_C2,C2,pre-drought,sample,-3.24E-04,-8.63698
S1P5_C1,C1,drought,sample,0.31922,-8.64158
S1P1_C1,C1,pre-drought,sample,0.87356,-8.64677
S1P5_C1,C1,pre-drought,sample,-0.80229,-8.64924
S2P3_C1,C1,drought,sample,1.79333,-8.73053
S1P5_C1,C1,pre-drought,sample,0.30911,-8.78763
S3P2_C2,C2,drought,sample,0.08583,-8.79043
S2P4_C2,C2,pre-drought,sample,0.7173,-8.85644
S3P5_C1,C1,drought,sample,0.24229,-8.87097
S1P2W,C2,drought,water,0.12542,-8.92105
S3P6_C2,C2,pre-drought,sample,0.37954,-8.93395
S3P1_C1,C1,drought,sample,0.50433,-8.9451
S3P5_C1,C1,pre-drought,sample,0.16678,-8.96316
S1P2_C2,C2,pre-drought,sample,0.86872,-8.97513
S1P2_C2,C2,pre-drought,sample,0.86872,-8.97513
S3P2_C2,C2,drought,sample,1.53153,-8.9793
S3P1_C1,C1,drought,sample,1.35047,-9.00873
S1P5_C1,C1,pre-drought,sample,-1.51449,-9.01968
S2P7_C1,C1,pre-drought,sample,1.30082,-9.05533
S1P5_C1,C1,drought,sample,1.14266,-9.06776
S3P4_C2,C2,drought,sample,-0.02773,-9.13067
S1P2_C2,C2,drought,sample,0.02811,-9.18272
S1P1_C1,C1,drought,sample,0.20671,-9.20289
S1P4_C2,C2,pre-drought,sample,0.90942,-9.24757
S1P5_C1,C1,pre-drought,sample,-1.02311,-9.295
S2P7_C1,C1,pre-drought,sample,-0.23316,-9.33663
S3P1_C1,C1,pre-drought,sample,1.85595,-9.3791
S1P2_C2,C2,pre-drought,sample,0.71927,-9.38503
S1P2_C2,C2,pre-drought,sample,0.71927,-9.38503
S3P3_C1,C1,pre-drought,sample,2.2515,-9.38866
S2P1_C1,C1,pre-drought,sample,11.7448,-9.38891
S3P1_C1,C1,drought,sample,0.76918,-9.39806
S3P1_C1,C1,pre-drought,sample,0.32414,-9.42185
S2P8_C2,C2,pre-drought,sample,-0.49657,-9.42633
S3P3_C1,C1,pre-drought,sample,2.51843,-9.49152
S2P6_C2,C2,pre-drought,sample,1.14133,-9.50074
S3P2_C2,C2,pre-drought,sample,0.05638,-9.56095
S3P1_C1,C1,pre-drought,sample,0.98723,-9.61203
S3P3_C1,C1,drought,sample,0.77772,-9.61812
S2P1_C1,C1,pre-drought,sample,13.08892,-9.63457
S2P1_C1,C1,drought,sample,1.38111,-9.63773
S2P8_C2,C2,pre-drought,sample,0.44492,-9.75813
S3P5_C1,C1,drought,sample,0.36493,-9.75976
S3P5_C1,C1,drought,sample,-0.51679,-9.76062
S1P5_C1,C1,pre-drought,sample,-0.73095,-9.76503
S2P4_C2,C2,pre-drought,sample,-0.00723,-9.80916
S1P6_C2,C2,drought,sample,-0.00727,-9.81055
S3P3_C1,C1,pre-drought,sample,0.98595,-9.88514
S2P7_C1,C1,pre-drought,sample,0.05667,-9.89987
S2P4_C2,C2,pre-drought,sample,0.34347,-9.90598
S1P4_C2,C2,pre-drought,sample,1.11046,-9.93211
S2P5_C1,C1,drought,sample,1.46941,-9.94889
S1P5_C1,C1,pre-drought,sample,-0.21131,-9.9506
S1P3_C1,C1,pre-drought,sample,0.3026,-9.95133
S3P4_C2,C2,drought,sample,1.94185,-10.00328
S1P5_C1,C1,pre-drought,sample,-0.75949,-10.00727
S1P5_C1,C1,drought,sample,0.29079,-10.01778
S2P3_C1,C1,drought,sample,0.03544,-10.06308
S3P1_C1,C1,pre-drought,sample,0.30275,-10.10542
S1P6_C2,C2,drought,sample,-0.4855,-10.14724
S1P2_C2,C2,pre-drought,sample,-0.65588,-10.1651
S1P2_C2,C2,pre-drought,sample,-0.65588,-10.1651
S1P2_C2,C2,pre-drought,sample,-1.51431,-10.17345
S1P2_C2,C2,pre-drought,sample,-1.51431,-10.17345
S2P8_C2,C2,pre-drought,sample,0.04244,-10.23217
S2P6_C2,C2,pre-drought,sample,0.05706,-10.24838
S1P2_C2,C2,drought,sample,-0.2131,-10.27764
S1P2_C2,C2,pre-drought,sample,1.34006,-10.28269
S1P2_C2,C2,pre-drought,sample,1.34006,-10.28269
S2P8_C2,C2,pre-drought,sample,0.26691,-10.32537
S1P5_C1,C1,drought,sample,-0.12081,-10.33593
S3P2_C2,C2,pre-drought,sample,-0.6113,-10.39383
S1P2_C2,C2,pre-drought,sample,-0.84848,-10.43661
S1P2_C2,C2,pre-drought,sample,-0.84848,-10.43661
S3P4_C2,C2,pre-drought,sample,0.32431,-10.45471
S2P3_C1,C1,drought,sample,0.41454,-10.45853
