Sample,Pyruv,Condition,Type,Time,Flux
S1P3,C1,pre-drought,sample,4.0574,13.79826
S2P8,C2,pre-drought,sample,1.11071,13.79857
S2P8,C2,pre-drought,sample,1.11071,13.79857
S2P5,C1,drought,sample,-0.62067,13.80088
S3P5,C1,pre-drought,sample,0.2559,13.80166
S1P2,C2,pre-drought,sample,-1.22959,13.84697
S3P3,C1,drought,sample,-0.00747,13.87799
S1P2,C2,pre-drought,sample,0.13095,14.03925
S1.4W,C2,drought,water,0.15391,14.1817
S1P2,C2,pre-drought,sample,-0.07589,14.21632
S3P6,C2,drought,sample,0.01407,14.24515
S1P5,C1,pre-drought,sample,1.45037,14.25615
S1P3,C1,pre-drought,sample,0.08161,14.28575
S1P2,C2,pre-drought,sample,-0.50672,14.31952
S3P2,C2,pre-drought,sample,-0.01366,14.33317
S2P6,C2,pre-drought,sample,1.00938,14.38027
S1P5,C1,pre-drought,sample,-0.21131,14.39694
S3P5,C1,pre-drought,sample,0.03475,14.47465
S2P4,C2,pre-drought,sample,1.15398,14.48269
S1P2,C2,drought,sample,0.21282,14.49603
S1P4,C2,pre-drought,sample,0.21457,14.54409
S1P2,C2,pre-drought,sample,0.71927,14.58167
S3P5,C1,drought,sample,-0.59498,14.59456
S3P5,C1,pre-drought,sample,0.9242,14.66758
S1P4,C2,drought,sample,1.36601,14.67034
S1P5,C1,pre-drought,sample,-1.22977,14.70395
S3P2,C2,drought,sample,1.11385,14.83587
S1P6,C2,pre-drought,sample,0.14601,14.85857
S1P4,C2,pre-drought,sample,-0.15082,14.96428
S2P1,C1,pre-drought,sample,0.01398,14.98289
S1P2,C2,pre-drought,sample,0.02757,15.04262
S1P2,C2,pre-drought,sample,-0.55289,15.06281
S1P3,C1,pre-drought,sample,0.82633,15.08014
S3P6,C2,pre-drought,sample,0.08222,15.19076
S1P2,C2,pre-drought,sample,1.45056,15.25165
S1P6,C2,pre-drought,sample,0.12461,15.26156
S2P8,C2,pre-drought,sample,1.82053,15.27114
S2P8,C2,pre-drought,sample,1.82053,15.27114
S1P3,C1,pre-drought,sample,1.18484,15.27184
S1P3,C1,pre-drought,sample,1.41443,15.28975
S3P3,C1,pre-drought,sample,1.0287,15.40852
S2P1,C1,pre-drought,sample,15.7716,15.429
S1P4,C2,pre-drought,sample,0.87376,15.50413
S1P5,C1,pre-drought,sample,0.02737,15.7132
S3P5,C1,pre-drought,sample,0.16678,15.73534
S1P2,C2,pre-drought,sample,0.1916,15.82163
S3P3,C1,drought,sample,1.12999,15.86717
S3P4,C2,drought,sample,0.42811,15.87506
S1P6,C2,pre-drought,sample,0.05686,15.9215
S2P3,C1,pre-drought,sample,1.2741,16.03184
S3P5,C1,pre-drought,sample,1.39316,16.05495
S2P6,C2,drought,sample,0.22075,16.11529
S1P2,C2,pre-drought,sample,-0.25382,16.14928
S1P4,C2,drought,sample,0.44538,16.16622
S1P2,C2,drought,sample,0.0139,16.16866
S3P5,C1,drought,sample,1.19193,16.26031
S2P1,C1,pre-drought,sample,10.24424,16.29824
S3P3,C1,pre-drought,sample,0.21394,16.35055
S1P1,C1,pre-drought,sample,0.0575,16.35835
S2P3,C1,pre-drought,sample,1.13868,16.36035
S2P8,C2,pre-drought,sample,0.7547,16.39232
S2P8,C2,pre-drought,sample,0.7547,16.39232
S2P1,C1,pre-drought,sample,0.19218,16.39961
S2P6,C2,pre-drought,sample,1.0522,16.5018
S1P5,C1,pre-drought,sample,0.28057,16.50818
S1P2,C2,pre-drought,sample,0.44205,16.57672
S3P6,C2,pre-drought,sample,1.35662,16.59767
S1P5,C1,pre-drought,sample,0.20568,16.60906
S3P3,C1,pre-drought,sample,1.20686,16.70748
S1P2,C2,pre-drought,sample,-0.53514,16.84144
S3P6,C2,pre-drought,sample,2.71088,16.87951
S3P1,C1,drought,sample,-0.52626,16.88171
S1P2,C2,pre-drought,sample,1.48972,16.92343
S3P4,C2,drought,sample,0.10654,16.93377
S3P5,C1,pre-drought,sample,1.50699,16.95785
S1P3,C1,pre-drought,sample,1.37884,16.98673
S1P6,C2,pre-drought,sample,1.02112,16.98691
S1P2,C2,pre-drought,sample,0.11668,17.06081
S1P5,C1,pre-drought,sample,-0.03326,17.06254
S3P3,C1,drought,sample,1.79631,17.11067
S1P2,C2,pre-drought,sample,0.51667,17.16602
S1P5,C1,pre-drought,sample,-0.09035,17.22623
S1P2,C2,pre-drought,sample,0.70506,17.29049
S2P4,C2,pre-drought,sample,1.43906,17.47528
S1.2W,C2,drought,water,0.36017,17.4806
S3P3,C1,pre-drought,sample,1.74096,17.5072
S1P4,C2,drought,sample,-1.59213,17.60401
S1P2,C2,drought,sample,-0.67541,17.6484
S2P4,C2,drought,sample,-0.57789,17.73394
S1.2W,C2,drought,water,0.28903,17.7728
S1P6,C2,pre-drought,sample,-0.53718,17.84798
S1P2,C2,pre-drought,sample,-1.12619,17.85611
S3P3,C1,pre-drought,sample,2.05422,17.86358
S2P3,C1,pre-drought,sample,0.09008,17.87536
S3P3,C1,pre-drought,sample,1.25317,18.01835
S2P8,C2,pre-drought,sample,0.39861,18.02823
S2P8,C2,pre-drought,sample,0.39861,18.02823
S3P2,C2,pre-drought,sample,0.36145,18.03409
S2P7,C1,pre-drought,sample,0.25977,18.06708
S1P5,C1,pre-drought,sample,1.07046,18.08566
S3P1,C1,pre-drought,sample,-0.54685,18.12768
S1P2,C2,pre-drought,sample,1.97431,18.12844
S3P6,C2,drought,sample,0.27281,18.13656
S3P6,C2,pre-drought,sample,0.75333,18.45705
S2P1,C1,pre-drought,sample,11.7448,18.48883
S1P5,C1,pre-drought,sample,-0.65606,18.56802
S3P3,C1,pre-drought,sample,0.71752,18.58983
S1P1,C1,pre-drought,sample,0.01469,18.74894
S3P5,C1,pre-drought,sample,0.32558,18.80999
S1P4,C2,drought,sample,1.86,19.13242
S2P7,C1,pre-drought,sample,1.83478,19.1345
S3P5,C1,pre-drought,sample,1.91668,19.16502
S1P6,C2,drought,sample,0.0852,19.29964
S1P1,C1,pre-drought,sample,0.38542,19.32478
S1P6,C2,pre-drought,sample,1.06388,19.44533
S2P1,C1,pre-drought,sample,1.47455,19.60133
S3P6,C2,pre-drought,sample,1.80166,19.69216
S3P3,C1,pre-drought,sample,0.10339,19.72158
S1P2,C2,pre-drought,sample,1.26324,19.77147
S1P2,C2,pre-drought,sample,-1.26161,19.87234
S3P3,C1,pre-drought,sample,2.78544,19.909
S1P2,C2,pre-drought,sample,1.22043,20.25953
S3P2,C2,pre-drought,sample,1.88122,20.48064
S1P1,C1,drought,sample,0.09284,20.4991
S1P3,C1,drought,sample,-0.2792,20.5793
S1P3,C1,pre-drought,sample,1.97691,20.66227
S2P8,C2,pre-drought,sample,0.86502,20.67645
S2P8,C2,pre-drought,sample,0.86502,20.67645
S1P4,C2,drought,sample,0.3244,20.70825
S1P3,C1,pre-drought,sample,0.71596,20.71804
S2P3,C1,pre-drought,sample,1.84057,20.73785
S1P2,C2,pre-drought,sample,-0.58131,20.90925
S1P2,C2,drought,sample,0.27674,21.12644
S2P4,C2,drought,sample,-0.10818,21.17505
S3P3,C1,pre-drought,sample,1.9189,21.20097
S3P3,C1,drought,sample,1.17977,21.23535
S2P3,C1,drought,sample,-0.238,21.47702
S2P8,C2,pre-drought,sample,0.88991,21.50592
S2P8,C2,pre-drought,sample,0.88991,21.50592
S3P4,C2,drought,sample,0.01409,21.52156
S3P6,C2,pre-drought,sample,2.48657,21.71338
S2P1,C1,drought,sample,0.17767,21.80422
S1P2,C2,pre-drought,sample,0.29502,21.85036
S3P3,C1,drought,sample,0.05659,22.22776
S1P2,C2,pre-drought,sample,0.48117,22.36108
S2P3,C1,drought,sample,0.08524,22.53581
S1P2,C2,pre-drought,sample,0.04183,22.62443
S2P5,C1,drought,sample,-0.22941,22.65762
S2P7,C1,pre-drought,sample,0.48056,22.90803
S2P3,C1,drought,sample,-0.54355,22.91339
S1P1,C1,drought,sample,0.15692,22.91672
S1P4,C2,pre-drought,sample,0.14685,22.98285
S1P4,C2,pre-drought,sample,0.49965,23.07908
S2P4,C2,drought,sample,-0.65623,23.08521
S1P4,C2,drought,sample,1.06392,23.21445
S1P3,C1,pre-drought,sample,1.09572,23.38262
S1P4,C2,pre-drought,sample,0.34993,23.4097
S2P1,C1,drought,sample,0.39601,23.54466
S1P3,C1,pre-drought,sample,4.15745,23.59804
S2P3,C1,pre-drought,sample,0.40569,23.6553
S3P2,C2,drought,sample,0.03609,23.71508
S3P2,C2,pre-drought,sample,0.12414,23.81391
S3P3,C1,drought,sample,0.17743,23.84237
S2P1,C1,pre-drought,sample,1.73821,23.98073
S1P3,C1,pre-drought,sample,0.17073,24.28103
S1P5,C1,drought,sample,0.09189,24.54712
S1.2W,C2,drought,water,0.49549,24.61358
S1P5,C1,drought,sample,-0.67546,24.64494
S1P2,C2,drought,sample,0.72508,24.75644
S1.4W,C2,drought,water,0.31751,24.84696
S3P3,C1,pre-drought,sample,0.14972,24.91632
S1P4,C2,drought,sample,1.32536,24.92511
S1.4W,C2,drought,water,0.96501,24.98264
S3P6,C2,pre-drought,sample,0.1036,25.0606
S1.4W,C2,drought,water,0.41005,25.1758
S2P1,C1,pre-drought,sample,0.10311,25.20012
S1.4W,C2,drought,water,1.12613,25.29411
S2P8,C2,pre-drought,sample,0.73332,25.39701
S2P8,C2,pre-drought,sample,0.73332,25.39701
S3P5,C1,drought,sample,0.03589,25.56555
S2P5,C1,drought,sample,-0.46431,25.5813
S2P8,C2,pre-drought,sample,1.17623,25.58521
S2P8,C2,pre-drought,sample,1.17623,25.58521
S1P2,C2,drought,sample,1.11429,25.79748
S1P6,C2,pre-drought,sample,1.11016,25.82265
S2P8,C2,pre-drought,sample,1.75291,25.90003
S2P8,C2,pre-drought,sample,1.75291,25.90003
S3P5,C1,pre-drought,sample,0.30227,26.05143
S3P4,C2,drought,sample,0.35172,26.56808
S2P6,C2,drought,sample,0.10683,26.94061
S3P6,C2,drought,sample,0.19896,27.02889
S3P5,C1,pre-drought,sample,0.73531,27.03683
S1.4W,C2,drought,water,1.01481,27.11084
S2P5,C1,drought,sample,0.02328,27.25251
S2P5,C1,drought,sample,-0.01947,27.25755
S1P4,C2,drought,sample,0.40271,27.32098
S3P5,C1,pre-drought,sample,0.14536,27.38951
S1P6,C2,drought,sample,0.30943,27.42415
S1P1,C1,drought,sample,0.3242,27.42894
S1P6,C2,drought,sample,0.466,27.50714
S1.4W,C2,drought,water,1.18524,27.54052
S2P1,C1,pre-drought,sample,-0.04726,27.56237
S2P8,C2,pre-drought,sample,1.86326,27.57934
