S1P1.C1_time,S1P1.C1,S1P3.C1_time,S1P3.C1,S1P5.C1_time,S1P5.C1,S2P1.C1_time,S2P1.C1,S2P3.C1_time,S2P3.C1,S2P7.C1_time,S2P7.C1,S3P1.C1_time,S3P1.C1,S3P3.C1_time,S3P3.C1,S3P5.C1_time,S3P5.C1,S1P2.C2_time,S1P2.C2,S1P4.C2_time,S1P4.C2,S1P6.C2_time,S1P6.C2,S2P8.C2_time,S2P8.C2,S2P4.C2_time,S2P4.C2,S2P6.C2_time,S2P6.C2,S3P2.C2_time,S3P2.C2,S3P4.C2_time,S3P4.C2,S3P6.C2_time,S3P6.C2
0.94838,9.76E-04,0.97589,-0.00127,-0.98501,-0.00315,0.94162,-0.01202,1.04954,0.016,0.72618,-2.90E-03,0.89252,0.00221,1.0287,0.0224,1.00684,1.10E-04,-0.97057,0.01317,1.06413,-0.00125,1.06388,0.00498,0.73332,5.45E-04,1.02203,-0.00399,1.09853,0.01535,1.02131,-0.00292,1.00166,0.00699,1.13229,0.00413
1.0069,0.00744,1.00672,0.00737,-0.97076,8.26E-04,0.97728,-0.00639,1.09588,-0.00423,0.74757,4.65E-03,0.92818,3.69E-04,1.075,0.01406,1.04965,-9.14E-04,-0.9563,-0.00571,1.11046,-0.01792,1.11016,-0.00146,0.7547,0.00492,1.06484,0.00598,1.14133,-0.00237,1.06411,0.00355,1.05462,0.00779,1.17856,-0.00766
1.04969,0.03521,1.04944,0.00393,-0.95649,-7.42E-03,1.00757,0.00806,1.13868,0.01029,0.76892,0.00369,0.98723,-0.00346,1.1178,0.00202,1.09597,-0.00687,-0.94204,-0.00599,1.15325,0.00592,1.15297,-3.59E-03,0.77605,0.00767,1.11119,0.01691,1.18765,3.42E-03,1.11045,0.00191,1.0974,0.00547,1.22134,0.00263
1.09602,-0.00537,1.09572,-0.00177,-0.94223,0.00482,1.05038,0.00321,1.185,0.00609,0.79382,0.0019,1.04019,-2.37E-05,1.16412,6.59E-04,1.13878,9.29E-04,-0.89126,-0.00544,1.19955,-0.01673,1.19931,3.78E-04,0.80095,0.00999,1.15398,-0.00884,1.23044,0.0091,1.15322,0.01122,1.14369,-7.63E-04,1.26763,0.01052
1.13878,,1.13851,-0.00164,-0.92795,0.0101,1.09672,-0.01734,1.2278,-8.31E-03,0.81517,0.00177,1.08296,3.01E-04,1.20686,0.01216,1.18507,0.021,-0.87701,-0.01146,1.24234,-0.00385,1.24209,0.01514,0.8223,4.86E-03,1.20032,-0.0133,1.27672,0.0019,1.1995,-0.01877,1.18647,-0.02054,1.31038,0.00774
1.18509,0.00224,1.18484,0.00813,-0.89146,5.52E-04,1.13954,8.32E-05,1.2741,0.01081,0.83655,-0.00672,1.12927,-0.00408,1.25317,-0.01462,1.22782,0.01032,-0.86273,-3.07E-04,1.28867,0.00107,1.379,0.00402,0.84368,-0.01013,1.24311,0.00349,1.34462,-0.0103,1.24228,0.01113,1.23275,0.0026,1.35662,0.00336
1.22788,-0.0081,1.22764,-0.01765,-0.87721,-8.34E-04,1.18587,0.01756,1.31684,0.00843,0.85791,-4.20E-05,1.17205,-0.00116,1.29593,7.10E-03,1.27414,0.00298,-0.84848,-0.0028,1.33145,0.00694,1.41459,0.0114,0.86502,0.00296,1.30921,-0.00528,1.38025,-0.00638,1.2886,4.39E-04,1.27552,0.0164,1.39934,-0.00819
1.2742,-0.00235,1.27396,-0.01131,-0.86294,-1.50E-04,1.22866,9.23E-03,1.35624,-0.00102,0.88278,0.00221,1.21833,0.00487,1.3422,-0.0092,1.31694,0.00259,-0.83419,-0.00301,1.38308,-6.84E-03,1.45369,-1.19E-02,0.88991,0.00541,1.36419,-0.01096,1.41949,0.0017,1.35771,0.02184,1.33362,-0.00204,1.44567,0.00207
1.317,0.0228,1.37884,-0.00689,-0.84869,0.00375,1.275,-0.01514,1.3919,0.00423,0.90413,9.35E-03,1.2611,0.0075,1.38488,0.00241,1.35753,4.90E-03,-0.81991,0.00555,1.41868,-4.88E-03,1.48934,-0.0159,0.91127,0.00262,1.39985,-0.00869,1.45508,9.33E-04,1.39333,0.0036,1.36922,0.0075,1.48845,0.00894
1.38292,4.99E-04,1.41443,0.00268,-0.8344,-0.02257,1.30904,-1.10E-02,1.43111,0.01535,0.92551,-0.0085,1.30742,-0.01116,1.43122,-0.00243,1.39316,9.96E-04,-0.80208,-0.00404,1.4578,-0.00566,1.52854,0.00708,0.93264,-2.84E-03,1.43906,-6.21E-04,1.49424,0.00304,1.43242,-0.0085,1.42009,-0.01051,1.53472,0.00682
1.4185,0.00428,1.45353,0.00862,-0.8201,-5.11E-03,1.36402,5.47E-04,1.46671,-1.82E-02,0.94686,-7.57E-03,1.33347,0.009,1.47396,0.01295,1.43225,0.00997,-0.78781,-1.06E-04,1.49343,0.00668,1.56419,-1.01E-02,0.95399,-0.00909,1.47472,0.02774,1.52986,-0.01193,1.468,0.01586,1.45569,-0.02059,1.57744,-0.01218
1.4576,-0.00778,1.48914,-0.00218,-0.80229,-0.0146,1.39968,0.01466,1.50587,-0.01118,0.97179,9.15E-04,1.36906,-0.00228,1.52027,0.01388,1.46782,0.00732,-0.77356,-0.01322,1.53264,0.00403,1.60333,-0.00139,0.97892,-3.84E-03,1.5139,-0.00612,1.56904,-0.03254,1.50716,-0.01289,1.50694,-0.01168,1.62366,0.00136
1.49323,0.00607,1.52836,-0.01213,-0.78801,0.01733,1.43889,-0.01905,1.54148,0.01081,0.99315,2.19E-04,1.41993,-0.00115,1.56302,-0.00689,1.50699,-0.01639,-0.75931,0.00532,1.56832,-0.01579,1.63896,-0.00183,1.00028,1.03E-02,1.54956,0.00435,1.60466,0.00121,1.54281,0.0052,1.54256,0.00811,1.66639,-0.003
1.53244,-0.00901,1.564,0.00624,-0.77376,0.00163,1.47455,-0.01291,1.58066,-6.40E-03,1.01453,-0.00311,1.45553,0.00524,1.60925,0.00643,1.54264,-0.02446,-0.74502,0.01818,1.60757,-0.00275,1.67806,-0.00656,1.02166,-0.0265,1.58872,,1.64381,-2.72E-03,1.58196,0.00298,1.59373,0.00482,1.71267,-0.00419
