"","p.Weighted","q.Weighted","cor.Weighted","Z.Weighted","p.Standard","q.Standard","cor.Standard","Z.Standard"
"KO:K06152",0.55311830339368,0.999845537267913,-0.105372310840911,-0.599412830638252,0.319857988530258,0.253818448208142,-0.175841355609176,-1.0104532797791
"KO:K06153",0.905937310712362,0.999845537267913,0.0210501983717116,0.119104295238386,0.723348511135925,0.410656527949293,0.0630045679967756,0.357117164809981
"KO:K06158",0.783467049814569,0.999845537267913,-0.0489304352141142,-0.277124282918414,0.723531371785728,0.410656527949293,-0.0629612278218168,-0.35687052966815
"KO:K06160",0.527098692997978,0.999845537267913,-0.112319929558661,-0.639423682810829,0.0707033470055678,0.0987111190599268,-0.313817774657043,-1.86967115983802
"KO:K06167",0.0867644663373279,0.318081652844982,-0.298158104864953,-1.76700659074749,0.0746648941824122,0.103179038296291,-0.309717233763771,-1.84262973147704
"KO:K06168",0.863661447902005,0.999845537267913,0.0305861070948606,0.173102138226869,0.879605390604743,0.457236168355899,0.026981321899639,0.152684992269368
"KO:K06169",0.554714893968916,0.999845537267913,-0.104951084908058,-0.596989936076677,0.476793957962863,0.323086097707686,-0.126248530034442,-0.719929949816139
"KO:K06173",0.076310701037251,0.287649772878743,0.308063371154284,1.83175548147926,0.0500162351539242,0.0784928785693022,0.338765486073245,2.03678006530846
"KO:K06174",0.127391863047135,0.427767304426039,0.266658352476112,1.56511862686105,0.0173186433229175,0.0394944527676554,0.405599037147688,2.51016012821352
"KO:K06176",0.935195592517104,0.999845537267913,-0.0144856288172187,-0.0819516894848933,0.705843312141154,0.40681226359252,-0.0671704686811034,-0.380833658804512
"KO:K06177",0.208297136441939,0.598550215803481,-0.221381234406827,-1.28418543249599,0.102884696232989,0.124098809697953,-0.284545414179879,-1.67903911097415
"KO:K06178",0.877014228936335,0.999845537267913,-0.0275664078340388,-0.155998434702677,0.787474426313671,0.42868018821203,-0.0480034803784957,-0.271862103185992
"KO:K06179",0.356069595938741,0.835211673282458,-0.163315132844143,-0.936422352496501,0.286518454888772,0.235436735033395,-0.188181099862451,-1.08387722996606
"KO:K06180",0.631909428410685,0.999845537267913,0.0851917696490543,0.483675792181923,0.426562897191434,0.302430519008128,0.140945535074008,0.805347853625564
