"","Label","Time","Time_Flux"
"2252","S1P2.C2","time",0.86019
"2253","S1P5.C1","time",0.88138
"2254","S1P2.C2","time",0.88155
"2255","S1P5.C1","time",0.89563
"2256","S1P2.C2","time",0.89579
"2257","S1P5.C1","time",0.95986
"2258","S1P2.C2","time",0.96002
"2259","S1P5.C1","time",0.97407
"2260","S1P2.C2","time",0.97424
"2261","S1P5.C1","time",1.00744
"2262","S1P5.C1","Flux",-0.000189
"2263","S1P2.C2","time",1.02184
"2264","S1P2.C2","Flux",0.12771
"2265","S1P5.C1","time",1.05015
"2266","S1P5.C1","Flux",-0.00671
"2267","S1P2.C2","time",1.06456
"2268","S1P2.C2","Flux",0.10421
"2269","S1P5.C1","time",1.09988
"2270","S1P5.C1","Flux",0.00474
"2271","S1P2.C2","time",1.11429
"2272","S1P2.C2","Flux",0.11836
"2273","S1P5.C1","time",1.14266
"2274","S1P5.C1","Flux",0.000471
"2275","S1P2.C2","time",1.15707
"2276","S1P2.C2","Flux",0.13225
"2277","S1P5.C1","time",1.19242
"2278","S1P5.C1","Flux",-0.00926
"2279","S1P2.C2","time",1.2069
"2280","S1P2.C2","Flux",0.15749
"2281","S1P5.C1","time",1.23519
"2282","S1P5.C1","Flux",0.00281
"2283","S1P2.C2","time",1.24959
"2284","S1P2.C2","Flux",0.16262
"2285","S1P2.C2","time",1.30104
"2286","S1P2.C2","Flux",0.09073
"2287","S1P2.C2","time",1.33664
"2288","S1P2.C2","Flux",0.08619
"2289","S1P2.C2","time",1.37934
"2290","S1P2.C2","Flux",0.12044
"2291","S1P2.C2","time",1.41498
"2292","S1P2.C2","Flux",0.14282
"2293","S1P2.C2","time",1.45762
"2294","S1P2.C2","Flux",0.12019
"2295","S1P2.C2","time",1.49326
"2296","S1P2.C2","Flux",0.1316
"2297","S1P2.C2","time",1.53593
"2298","S1P2.C2","Flux",0.05071
"2299","S1P2.C2","time",1.57156
"2300","S1P2.C2","time",1.61428
"2301","S1P2.C2","time",1.64987
"2302","S1P2.C2","time",1.6925
"2303","S1P2.C2","time",1.72814
"2304","S1P2.C2","Flux",0.07169
"2305","S1P2.C2","time",1.77076
"2306","S1P2.C2","Flux",0.06735
"2307","S1P2.C2","time",1.80641
"2308","S1P2.C2","Flux",0.0604
"2309","S1P2.C2","time",1.84905
"2310","S1P2.C2","Flux",0.06946
"2311","S1P2.C2","time",1.88469
"2312","S1P2.C2","Flux",0.05946
"2313","S1P2.C2","time",1.92738
"2314","S1P2.C2","Flux",0.06109
"2315","S1P2.C2","time",1.963
"2316","S1P2.C2","Flux",0.05992
