"","X1","X2","X3"
"464",NA,NA,NA
"465","S2P7.C1",-0.01184,0.1244
"466",NA,NA,NA
"467","S3P1.C1",-0.01914,0.08177
"468",NA,NA,NA
"469","S3P3.C1",-0.00191,0.08201
"470",NA,NA,NA
"471","S3P5.C1",0.00726,0.12394
"472",NA,NA,NA
"473",NA,NA,NA
"474","S1P4.C2",-0.00524,0.12547
"475",NA,NA,NA
"476","S1P6.C2",-9.49e-05,0.14601
"477",NA,NA,NA
"478","S2P8.C2",0.00927,0.13154
"479",NA,NA,NA
"480","S2P4.C2",-0.00144,0.12471
"481",NA,NA,NA
"482","S2P6.C2",0.00914,0.10339
"483",NA,NA,NA
"484","S3P2.C2",-0.00343,0.12414
"485",NA,NA,NA
"486","S3P4.C2",-0.00161,0.12472
"487",NA,NA,NA
"488","S3P6.C2",0.00176,0.1036
"489",NA,NA,NA
"490","S1P1.C1",0.0036,0.12527
"491",NA,NA,NA
"492","S1P3.C1",-0.00339,0.14581
"493",NA,NA,NA
"494",NA,NA,NA
"495","S2P1.C1",0.01884,0.12453
"496",NA,NA,NA
"497","S2P3.C1",0.00451,0.11501
"498",NA,NA,NA
"499","S2P7.C1",-0.01348,0.14576
"500",NA,NA,NA
"501","S3P1.C1",-0.00268,0.10317
"502",NA,NA,NA
"503","S3P3.C1",0.01422,0.10339
"504",NA,NA,NA
"505","S3P5.C1",0.00872,0.14536
"506",NA,NA,NA
"507",NA,NA,NA
"508","S1P4.C2",-0.00091,0.14685
"509",NA,NA,NA
"510","S1P6.C2",-0.00546,0.17093
"511",NA,NA,NA
"512","S2P8.C2",-0.00532,0.15291
"513",NA,NA,NA
"514","S2P4.C2",-0.00364,0.14608
"515",NA,NA,NA
"516","S2P6.C2",0.00222,0.12477
"517",NA,NA,NA
"518","S3P2.C2",-0.000489,0.14557
"519",NA,NA,NA
"520","S3P4.C2",0.01686,0.14611
"521",NA,NA,NA
"522","S3P6.C2",0.000888,0.12501
"523",NA,NA,NA
"524","S1P1.C1",-0.00546,0.14666
"525",NA,NA,NA
"526","S1P3.C1",-0.00335,0.17073
"527",NA,NA,NA
"528",NA,NA,NA
"529","S2P1.C1",-0.01367,0.1459
"530",NA,NA,NA
"531","S2P3.C1",0.0099,0.13639
"532",NA,NA,NA
"533","S2P7.C1",-0.00292,0.17072
"534",NA,NA,NA
"535","S3P1.C1",0.00864,0.12455
"536",NA,NA,NA
"537","S3P3.C1",-0.00986,0.1248
"538",NA,NA,NA
"539","S3P5.C1",-0.01404,0.16678
"540",NA,NA,NA
"541",NA,NA,NA
"542","S1P4.C2",0.00501,0.17178
"543",NA,NA,NA
"544","S1P6.C2",0.01304,0.19233
"545",NA,NA,NA
"546","S2P8.C2",0.00885,0.17786
"547",NA,NA,NA
"548","S2P4.C2",0.00497,0.171
"549",NA,NA,NA
"550","S2P6.C2",0.01079,0.14615
"551",NA,NA,NA
"552","S3P2.C2",-0.0059,0.16698
"553",NA,NA,NA
"554","S3P4.C2",-0.000753,0.17102
"555",NA,NA,NA
"556","S3P6.C2",-0.000459,0.14993
"557",NA,NA,NA
"558","S1P1.C1",0.01632,0.17159
"559",NA,NA,NA
"560","S1P3.C1",-0.00176,0.19213
"561",NA,NA,NA
"562",NA,NA,NA
"563","S2P1.C1",-0.004,0.17081
"564",NA,NA,NA
"565","S2P3.C1",0.00192,0.15777
"566",NA,NA,NA
"567","S2P7.C1",0.00289,0.19207
"568",NA,NA,NA
"569","S3P1.C1",-0.00179,0.14594
"570",NA,NA,NA
"571","S3P3.C1",0.00771,0.14972
"572",NA,NA,NA
"573","S3P5.C1",-0.0073,0.19174
"574",NA,NA,NA
"575",NA,NA,NA
"576","S1P4.C2",-0.00439,0.19318
"577",NA,NA,NA
"578","S1P6.C2",-0.00547,0.21373
"579",NA,NA,NA
"580","S2P8.C2",-0.0025,0.19921
"581",NA,NA,NA
"582","S2P4.C2",-0.00968,0.19236
"583",NA,NA,NA
"584","S2P6.C2",0.00276,0.16755
"585",NA,NA,NA
"586","S3P2.C2",-0.00454,0.19192
"587",NA,NA,NA
"588","S3P4.C2",0.01941,0.19242
"589",NA,NA,NA
"590","S3P6.C2",0.00701,0.17134
"591",NA,NA,NA
"592","S1P1.C1",-0.00392,0.193
"593",NA,NA,NA
"594","S1P3.C1",0.01122,0.21353
"595",NA,NA,NA
"596",NA,NA,NA
"597","S2P1.C1",-0.00163,0.19218
"598",NA,NA,NA
"599","S2P3.C1",-0.00905,0.17917
"600",NA,NA,NA
"601","S2P7.C1",-0.01318,0.21347
"602",NA,NA,NA
"603","S3P1.C1",-0.00546,0.17086
"604",NA,NA,NA
"605","S3P3.C1",-0.00387,0.17113
"606",NA,NA,NA
"607","S3P5.C1",-0.0053,0.21314
"608",NA,NA,NA
"609",NA,NA,NA
"610","S1P4.C2",0.00374,0.21457
"611",NA,NA,NA
"612","S1P6.C2",-0.00092,0.23512
"613",NA,NA,NA
"614","S2P8.C2",0.00969,0.2206
"615",NA,NA,NA
"616","S2P4.C2",-0.00633,0.21375
"617",NA,NA,NA
"618","S2P6.C2",0.00056,0.19243
"619",NA,NA,NA
"620","S3P2.C2",0.01305,0.2133
"621",NA,NA,NA
"622","S3P4.C2",0.01075,0.21381
"623",NA,NA,NA
"624","S3P6.C2",0.01254,0.19274
"625",NA,NA,NA
"626","S1P1.C1",-0.00213,0.21438
"627",NA,NA,NA
"628","S1P3.C1",-0.00713,0.23492
"629",NA,NA,NA
"630",NA,NA,NA
"631","S2P1.C1",0.00316,0.21356
"632",NA,NA,NA
"633","S2P3.C1",-0.000187,0.20405
"634",NA,NA,NA
"635","S2P7.C1",-0.01091,0.23481
"636",NA,NA,NA
"637","S3P1.C1",-0.00226,0.19225
"638",NA,NA,NA
"639","S3P3.C1",-0.01492,0.19253
"640",NA,NA,NA
"641","S3P5.C1",-0.00485,0.23451
"642",NA,NA,NA
"643",NA,NA,NA
"644","S1P4.C2",-0.01297,0.23598
"645",NA,NA,NA
"646","S1P6.C2",0.00466,0.26002
"647",NA,NA,NA
"648","S2P8.C2",0.00327,0.24196
"649",NA,NA,NA
"650","S2P4.C2",0.00103,0.23514
"651",NA,NA,NA
"652","S2P6.C2",0.01019,0.21383
"653",NA,NA,NA
"654","S3P2.C2",-0.00766,0.23471
"655",NA,NA,NA
"656","S3P4.C2",0.00966,0.23521
"657",NA,NA,NA
"658","S3P6.C2",-0.00977,0.21414
"659",NA,NA,NA
"660","S1P1.C1",0.00677,0.23578
"661",NA,NA,NA
"662","S1P3.C1",-0.00363,0.25983
"663",NA,NA,NA
"664",NA,NA,NA
"665","S2P1.C1",-0.00427,0.23495
"666",NA,NA,NA
"667","S2P3.C1",0.00476,0.22545
"668",NA,NA,NA
"669","S2P7.C1",0.00263,0.25977
"670",NA,NA,NA
"671","S3P1.C1",0.00663,0.21363
"672",NA,NA,NA
"673","S3P3.C1",-0.0146,0.21394
"674",NA,NA,NA
"675","S3P5.C1",-0.006,0.2559
"676",NA,NA,NA
"677","S1P2.C2",-0.000589,-1.29012
"678",NA,NA,NA
"679","S1P4.C2",-0.000485,0.26093
"680",NA,NA,NA
"681","S1P6.C2",0.00537,0.28142
"682",NA,NA,NA
"683","S2P8.C2",0.00057,0.26691
"684",NA,NA,NA
"685","S2P4.C2",0.00864,0.26007
"686",NA,NA,NA
"687","S2P6.C2",-0.00997,0.2352
"688",NA,NA,NA
"689","S3P2.C2",0.00363,0.2561
"690",NA,NA,NA
"691","S3P4.C2",0.00801,0.26014
"692",NA,NA,NA
"693","S3P6.C2",-0.00286,0.23906
"694",NA,NA,NA
"695","S1P1.C1",-0.00171,0.26072
"696",NA,NA,NA
"697","S1P3.C1",-0.02035,0.28123
"698",NA,NA,NA
"699","S1P5.C1",0.03257,-1.27603
"700",NA,NA,NA
"701","S2P1.C1",-0.00579,0.25988
"702",NA,NA,NA
"703","S2P3.C1",-0.00721,0.24683
"704",NA,NA,NA
"705","S2P7.C1",0.00252,0.28113
"706",NA,NA,NA
"707","S3P1.C1",-0.01156,0.23503
"708",NA,NA,NA
"709","S3P3.C1",-0.00393,0.23885
"710",NA,NA,NA
"711","S3P5.C1",-0.00811,0.28087
"712",NA,NA,NA
"713","S1P2.C2",-0.00325,-1.27587
"714",NA,NA,NA
"715","S1P4.C2",0.01549,0.29495
"716",NA,NA,NA
"717","S1P6.C2",0.01277,0.30277
"718",NA,NA,NA
"719","S2P8.C2",0.000591,0.28828
"720",NA,NA,NA
"721","S2P4.C2",0.00526,0.28146
"722",NA,NA,NA
"723","S2P6.C2",0.01142,0.2566
"724",NA,NA,NA
"725","S3P2.C2",0.00566,0.28106
"726",NA,NA,NA
"727","S3P4.C2",0.00463,0.28153
"728",NA,NA,NA
"729","S3P6.C2",0.00476,0.34396
"730",NA,NA,NA
"731","S1P1.C1",0.00341,0.28212
"732",NA,NA,NA
"733","S1P3.C1",0.00591,0.3026
"734",NA,NA,NA
"735","S1P5.C1",0.00241,-1.26178
"736",NA,NA,NA
"737","S2P1.C1",0.000995,0.28127
"738",NA,NA,NA
"739","S2P3.C1",0.00165,0.26822
"740",NA,NA,NA
"741","S2P7.C1",-0.00497,0.30252
"742",NA,NA,NA
"743","S3P1.C1",-0.02431,0.25998
"744",NA,NA,NA
"745","S3P3.C1",-0.00621,0.26025
"746",NA,NA,NA
"747","S3P5.C1",-0.01141,0.30227
"748",NA,NA,NA
