"","Label","Time","Time_Flux"
"2027","S3P3.C1","time",1.69822
"2028","S3P3.C1","Flux",-0.00098
"2029","S3P5.C1","time",1.61743
"2030","S3P5.C1","Flux",0.00177
"2031","S1P2.C2","time",-0.71293
"2032","S1P2.C2","Flux",0.01631
"2033","S1P4.C2","time",1.6824
"2034","S1P4.C2","Flux",0.00803
"2035","S1P6.C2","time",1.75278
"2036","S1P6.C2","Flux",-0.00991
"2037","S2P8.C2","time",1.06796
"2038","S2P8.C2","Flux",-0.00551
"2039","S2P4.C2","time",1.66355
"2040","S2P4.C2","Flux",-0.0182
"2041","S2P6.C2","time",1.71858
"2042","S2P6.C2","Flux",-0.00564
"2043","S3P2.C2","time",1.65676
"2044","S3P2.C2","Flux",0.00393
"2045","S3P4.C2","time",1.68057
"2046","S3P4.C2","Flux",-0.00625
"2047","S3P6.C2","time",1.80166
"2048","S3P6.C2","Flux",-0.01363
"2049","S1P1.C1","time",1.64296
"2050","S1P1.C1","Flux",0.01
"2051","S1P3.C1","time",1.67789
"2052","S1P3.C1","Flux",-0.01727
"2053","S1P5.C1","time",-0.73095
"2054","S1P5.C1","Flux",-0.00588
"2055","S2P1.C1","time",1.58854
"2056","S2P1.C1","Flux",0.00381
"2057","S2P3.C1","time",1.69103
"2058","S2P3.C1","Flux",0.000457
"2059","S2P7.C1","time",1.08219
"2060","S2P7.C1","Flux",-0.01215
"2061","S3P1.C1","time",1.59356
"2062","S3P1.C1","Flux",-0.01714
"2063","S3P3.C1","time",1.74096
"2064","S3P3.C1","Flux",-0.00763
"2065","S3P5.C1","time",1.65657
"2066","S3P5.C1","Flux",0.00539
"2067","S1P2.C2","time",-0.69867
"2068","S1P2.C2","Flux",-0.01001
"2069","S1P4.C2","time",1.71804
"2070","S1P4.C2","Flux",-0.00668
"2071","S1P6.C2","time",1.7884
"2072","S1P6.C2","Flux",-0.00417
"2073","S2P8.C2","time",1.08932
"2074","S2P8.C2","Flux",-0.01233
"2075","S2P4.C2","time",1.69921
"2076","S2P4.C2","Flux",0.00347
"2077","S2P6.C2","time",1.75419
"2078","S2P6.C2","Flux",0.01436
"2079","S3P2.C2","time",1.69242
"2080","S3P2.C2","Flux",0.000936
"2081","S3P4.C2","time",1.71619
"2082","S3P4.C2","Flux",-2.49e-05
"2083","S3P6.C2","time",1.84438
"2084","S3P6.C2","Flux",-0.02062
"2085","S1P1.C1","time",1.6822
"2086","S1P1.C1","Flux",0.01189
"2087","S1P3.C1","time",1.71348
"2088","S1P3.C1","Flux",-0.00793
"2089","S1P5.C1","time",-0.71312
"2090","S1P5.C1","Flux",0.08649
"2091","S2P1.C1","time",1.6242
"2092","S2P1.C1","Flux",-0.00836
"2093","S2P3.C1","time",1.7302
"2094","S2P3.C1","Flux",0.00663
"2095","S2P7.C1","time",1.10358
"2096","S2P7.C1","Flux",-0.01125
"2097","S3P1.C1","time",1.62918
"2098","S3P1.C1","Flux",0.02374
"2099","S3P3.C1","time",1.78721
"2100","S3P3.C1","Flux",-0.0142
"2101","S3P5.C1","time",1.69222
"2102","S3P5.C1","Flux",0.00285
"2103","S1P2.C2","time",-0.68439
"2104","S1P2.C2","Flux",0.0015
"2105","S1P4.C2","time",1.75726
"2106","S1P4.C2","Flux",-0.00566
"2107","S1P6.C2","time",1.82757
"2108","S1P6.C2","Flux",-0.00211
"2109","S2P8.C2","time",1.11071
"2110","S2P8.C2","Flux",-0.01251
"2111","S2P4.C2","time",1.73838
"2112","S2P4.C2","Flux",0.0016
"2113","S2P6.C2","time",1.79334
"2114","S2P6.C2","Flux",0.016
"2115","S3P2.C2","time",1.73159
"2116","S3P2.C2","Flux",0.01217
"2117","S3P4.C2","time",1.76736
"2118","S3P4.C2","Flux",0.00183
"2119","S3P6.C2","time",1.89063
"2120","S3P6.C2","Flux",-0.00212
"2121","S1P1.C1","time",1.71785
"2122","S1P1.C1","Flux",-0.000121
"2123","S1P3.C1","time",1.75262
"2124","S1P3.C1","Flux",0.01251
"2125","S1P5.C1","time",-0.69888
"2126","S1P5.C1","Flux",-0.00916
"2127","S2P1.C1","time",1.66338
"2128","S2P1.C1","Flux",0.00851
"2129","S2P3.C1","time",1.76581
"2130","S2P3.C1","Flux",-0.01078
"2131","S2P7.C1","time",1.12493
"2132","S2P7.C1","Flux",0.00918
"2133","S3P1.C1","time",1.68041
"2134","S3P1.C1","Flux",-0.002
"2135","S3P3.C1","time",1.82994
"2136","S3P3.C1","Flux",-0.0165
"2137","S3P5.C1","time",1.73138
"2138","S3P5.C1","Flux",0.00509
"2139","S1P2.C2","time",-0.6701
"2140","S1P2.C2","Flux",0.00229
"2141","S1P4.C2","time",1.79291
"2142","S1P4.C2","Flux",-0.00453
"2143","S1P6.C2","time",1.86315
"2144","S1P6.C2","Flux",-0.00499
"2145","S2P8.C2","time",1.13206
"2146","S2P8.C2","Flux",-0.0104
"2147","S2P4.C2","time",1.77404
"2148","S2P4.C2","Flux",0.00515
"2149","S2P6.C2","time",1.82895
"2150","S2P6.C2","Flux",0.000302
"2151","S3P2.C2","time",1.76723
"2152","S3P2.C2","Flux",-0.01021
