"","Label","Pyr","Flux","Time","Condition"
"1361","S2P1","C1",19.28016,13.64404,"Pre-Drought"
"1362","S1P2","C2",22.62443,0.04183,"Pre-Drought"
"1363","S1P5","C1",15.7132,0.02737,"Pre-Drought"
"1364","S2P1","C1",4.54054,13.73664,"Pre-Drought"
"1365","S1P2","C2",0.51564,0.05609,"Pre-Drought"
"1366","S1P5","C1",-10.3142,0.04164,"Pre-Drought"
"1367","S2P1","C1",-6.13165,13.82926,"Pre-Drought"
"1368","S1P2","C2",-6.20231,0.07037,"Pre-Drought"
"1369","S1P5","C1",-16.28954,0.0559,"Pre-Drought"
"1370","S2P1","C1",5.65728,13.92183,"Pre-Drought"
"1371","S1P2","C2",-24.56188,0.08818,"Pre-Drought"
"1372","S1P5","C1",-7.38649,0.07017,"Pre-Drought"
"1373","S2P1","C1",-5.8433,14.01441,"Pre-Drought"
"1374","S1P2","C2",-15.38285,0.10241,"Pre-Drought"
"1375","S1P5","C1",4.42207,0.08799,"Pre-Drought"
"1376","S2P1","C1",5.49076,14.10698,"Pre-Drought"
"1377","S1P2","C2",17.06081,0.11668,"Pre-Drought"
"1378","S1P5","C1",-14.89331,0.10222,"Pre-Drought"
"1379","S2P1","C1",-13.27487,14.19951,"Pre-Drought"
"1380","S1P2","C2",14.03925,0.13095,"Pre-Drought"
"1381","S1P5","C1",-5.62711,0.11649,"Pre-Drought"
"1382","S2P1","C1",0.91715,14.29204,"Pre-Drought"
"1383","S1P2","C2",-10.18378,0.14522,"Pre-Drought"
"1384","S1P5","C1",2.7511,0.13076,"Pre-Drought"
"1385","S2P1","C1",-18.70419,14.38451,"Pre-Drought"
"1386","S1P2","C2",-3.71025,0.15949,"Pre-Drought"
"1387","S1P5","C1",8.74915,0.14503,"Pre-Drought"
"1388","S2P1","C1",7.54996,14.47713,"Pre-Drought"
"1389","S1P2","C2",-3.20047,0.17731,"Pre-Drought"
"1390","S1P5","C1",-16.63601,0.15931,"Pre-Drought"
"1391","S2P1","C1",5.97122,14.56968,"Pre-Drought"
"1392","S1P2","C2",15.82163,0.1916,"Pre-Drought"
"1393","S1P5","C1",-3.05623,0.17713,"Pre-Drought"
