"","Condition","Site","Set","Time","fCO2_13_C1","fCO2_13_C2","fCO2_13_py_C1","fCO2_13_py_C2","C1_C2_diff_fCO2_13_py","C1_C2_ratio_sum_fCO2_13_py"
"53","drought","Site2","Set3","42",101.450112567502,110.34786267486,59.1497242229269,63.6265344532738,-4.47681023034691,0.481768420545565
"54","drought","Site2","Set3","48",93.3391818183864,109.151810654914,51.4125291296136,60.434340812102,-9.02181168248838,0.459668913009413
"55","drought","Site3","Set1","3",398.817914506828,185.624703189977,274.442858209906,70.9679420255645,203.474916184341,0.794540466085065
"56","drought","Site3","Set1","6",438.107151551428,273.68476021708,310.120497956932,159.265355048276,150.855142908656,0.660694172973916
"57","drought","Site3","Set1","12",370.067064147019,252.195791380089,258.785702035259,156.993463867292,101.792238167967,0.622411422355666
"58","drought","Site3","Set1","18",322.120710401284,243.993873127597,225.52689879417,149.338947176852,76.1879516173179,0.601620289546473
"59","drought","Site3","Set1","24",283.859822811034,226.243421370853,185.409145278851,136.337738752057,49.0714065267948,0.576257780513705
"60","drought","Site3","Set1","30",301.143879121703,264.88187895793,179.152836615853,154.791118953668,24.3617176621859,0.536475757766956
"61","drought","Site3","Set1","36",203.672445313653,206.091159638861,99.0812600189601,121.732307879174,-22.6510478602141,0.44871001796714
"62","drought","Site3","Set1","42",156.686671846536,178.5885915063,60.677256344479,96.4506827891316,-35.7734264446526,0.386164654605973
"63","drought","Site3","Set1","48",159.706905558291,164.620123202535,46.6293278496832,83.229396878381,-36.6000690286978,0.359077358470362
"64","drought","Site3","Set2","3",428.582054266338,156.609988761397,307.313855124414,67.5702668006172,239.743588323797,0.819756925276953
"65","drought","Site3","Set2","6",581.049052398392,220.145280875424,453.484189058685,130.439014071902,323.045174986784,0.77661614854046
"66","drought","Site3","Set2","12",467.310951902567,164.742071662113,364.427405963908,103.788561924902,260.638844039006,0.778331861698597
"67","drought","Site3","Set2","18",369.197669721985,146.124339021994,278.700140264401,84.9776889570976,193.722451307303,0.766337999929762
"68","drought","Site3","Set2","24",327.196696571643,102.175738132647,237.898763878625,53.5796165289694,184.319147349655,0.816179791948736
"69","drought","Site3","Set2","30",428.479950770197,167.23919879259,306.389945119544,90.8348684323096,215.555076687234,0.771326298525779
"70","drought","Site3","Set2","36",341.75231434523,99.6634143335537,246.384171254621,50.9471151554522,195.437056099169,0.828652020543889
"71","drought","Site3","Set2","42",250.62989651306,79.7964695606013,168.307933065245,34.7395797607738,133.568353304472,0.828909109610516
"72","drought","Site3","Set2","48",201.58867216313,76.3923374179146,120.842307206724,31.184733385323,89.6575738214005,0.794873772035036
"73","drought","Site3","Set3","3",452.376839494037,116.932342676463,362.893947774413,44.1412016596564,318.752746114756,0.891554324679259
"74","drought","Site3","Set3","6",971.329918682065,157.057134118024,873.359122213804,88.8716484600791,784.487473753725,0.907639984950971
"75","drought","Site3","Set3","12",865.558813287299,122.756741269991,789.117504751649,74.8631574559202,714.254347295729,0.913350887663809
"76","drought","Site3","Set3","18",718.066463789049,97.1810983884159,650.405236533144,55.6757622134763,594.729474319668,0.921148193603414
"77","drought","Site3","Set3","24",657.589095036301,91.0861352478357,577.048831201227,47.4057400869656,529.643091114262,0.924084565528647
"78","drought","Site3","Set3","30",577.059260197505,140.76960519717,481.186910892011,74.3866113272476,406.800299564763,0.866108429663625
"79","drought","Site3","Set3","36",283.955983880666,102.371848230776,212.244053841874,59.0063408591756,153.237712982699,0.782465419362034
"80","drought","Site3","Set3","42",160.806533742813,85.3059450760399,99.308667214899,45.4330601558177,53.8756070590814,0.686109451772306
"81","drought","Site3","Set3","48",118.046405934795,80.7637934456055,59.5061899375322,38.4511646093911,21.0550253281411,0.607470365168219
"82","pre_drought","Site1","Set1","3",513.050807326216,91.2447693220022,389.946599352835,34.6889036960333,355.257695656802,0.918308988657406
"83","pre_drought","Site1","Set1","6",829.262277990676,155.608181408315,694.709089995055,82.8326268647313,611.876463130323,0.893468575294889
"84","pre_drought","Site1","Set1","12",842.197668582045,162.471963508071,732.802182281054,106.025759534688,626.776422746366,0.873602494326569
"85","pre_drought","Site1","Set1","18",671.620121669073,157.920963424704,603.091738733886,131.298161160223,471.793577573663,0.821214642005351
"86","pre_drought","Site1","Set1","24",570.757686912359,189.935315685478,493.22484987899,138.746329956304,354.478519922686,0.780454656187859
"87","pre_drought","Site1","Set1","30",518.799804662046,201.054072097393,386.053541956738,140.713711821133,245.339830135605,0.732873084247432
"88","pre_drought","Site1","Set1","36",464.397395235877,203.788379641083,345.961896915708,169.567696417695,176.394200498013,0.671080576924257
"89","pre_drought","Site1","Set1","42",339.445141016002,178.905164683125,263.278888443668,153.695715523276,109.583172920392,0.631402694406155
"90","pre_drought","Site1","Set1","48",262.129673643645,209.078704271145,190.236797072256,122.398069388861,67.8387276833947,0.608495140755249
"91","pre_drought","Site1","Set2","3",411.960191847937,178.268300384283,352.397506503696,90.2004044058305,262.197102097865,0.79620237198935
"92","pre_drought","Site1","Set2","6",822.305290563306,282.949538791545,748.390416124006,188.482450011622,559.907966112384,0.798817473720777
"93","pre_drought","Site1","Set2","12",986.712658533302,354.266463566175,903.529151163881,263.278726657858,640.250424506022,0.774359831072309
"94","pre_drought","Site1","Set2","18",761.508275855861,304.242571794302,699.774436907545,238.951852970535,460.82258393701,0.745450984438105
"95","pre_drought","Site1","Set2","24",581.609440463622,248.74880282619,524.003249935074,186.034032640974,337.9692172941,0.737993993827994
"96","pre_drought","Site1","Set2","30",379.791705293608,233.952252579305,315.619835363386,141.496402048445,174.123433314941,0.690458595718256
"97","pre_drought","Site1","Set2","36",302.079130704574,186.952295861415,235.835532739446,111.265338622403,124.570194117042,0.679443793425657
"98","pre_drought","Site1","Set2","42",162.790237970397,172.553989202786,111.839729705541,108.109199513746,3.73053019179554,0.5084804463587
"99","pre_drought","Site1","Set2","48",132.914777071727,165.485848280833,74.6340442321904,94.0010364757344,-19.3669922435439,0.442577214176784
"100","pre_drought","Site1","Set3","3",874.777700822622,275.565672193518,758.22413580698,103.250607589358,654.973528217622,0.880146680583698
"101","pre_drought","Site1","Set3","6",1511.04817807809,387.692705399038,1382.387229828,203.051931597323,1179.33529823068,0.871927011431471
"102","pre_drought","Site1","Set3","12",1382.16475756681,358.165373503155,1263.81982731656,225.342623758809,1038.47720355775,0.848678279796752
"103","pre_drought","Site1","Set3","18",958.752766284346,367.500300421164,877.929846224901,288.472110566712,589.457735658189,0.752682075945582
"104","pre_drought","Site1","Set3","24",561.111389214925,306.304533835052,467.442827174566,210.81542228851,256.627404886055,0.689181189531574
"105","pre_drought","Site1","Set3","30",332.847865579923,296.735467763619,211.191683228875,144.88839847151,66.3032847573651,0.593101647866328
"106","pre_drought","Site1","Set3","36",197.562457123109,210.100834506971,98.1671774357635,116.580676086471,-18.4134986507071,0.457127630500855
"107","pre_drought","Site1","Set3","42",123.811598155898,125.431227921099,48.0670311685675,73.7548675329596,-25.687836364392,0.39456806765371
"108","pre_drought","Site1","Set3","48",130.866416978014,122.322103219368,25.5369458961798,66.7976755793732,-41.2607296831934,0.276569562836634
"109","pre_drought","Site2","Set1","3",1382.57967533436,NA,1099.85797459887,NA,NA,NA
"110","pre_drought","Site2","Set1","6",1861.12925397408,NA,1545.53230619411,NA,NA,NA
"111","pre_drought","Site2","Set1","12",1662.59179896646,NA,1318.1488247618,NA,NA,NA
"112","pre_drought","Site2","Set1","18",852.111473556464,NA,591.572038344456,NA,NA,NA
"113","pre_drought","Site2","Set1","24",452.165583128533,NA,199.889830378151,NA,NA,NA
"114","pre_drought","Site2","Set1","30",370.615115487486,NA,81.2857308841123,NA,NA,NA
"115","pre_drought","Site2","Set1","36",306.183114974628,NA,32.4584009364581,NA,NA,NA
"116","pre_drought","Site2","Set1","42",235.851957531083,NA,16.1967164619843,NA,NA,NA
"117","pre_drought","Site2","Set1","48",241.746133022662,NA,9.4338188886912,NA,NA,NA
"118","pre_drought","Site2","Set2","3",1049.23491130764,349.888127582501,915.358936191765,207.791131999155,707.56780419261,0.814992548294238
"119","pre_drought","Site2","Set2","6",1332.0042512323,530.912843184929,1195.15135624509,382.539801684808,812.61155456028,0.757531884639106
"120","pre_drought","Site2","Set2","12",1202.69287330239,528.407626116872,1052.30376286582,375.897968812813,676.405794053004,0.73680330973202
"121","pre_drought","Site2","Set2","18",711.729940458441,362.048755828139,626.349046872941,257.372531908216,368.976514964725,0.708762874996005
"122","pre_drought","Site2","Set2","24",330.412686103079,264.23289497265,248.545291450492,159.933296602569,88.6119948479233,0.608465899363631
"123","pre_drought","Site2","Set2","30",258.762894182695,251.557802167635,140.718304459435,114.8250262539,25.8932782055353,0.550663185247793
"124","pre_drought","Site2","Set2","36",168.103496105675,177.937433387768,61.024331618123,70.2193296556253,-9.19499803750229,0.464969744259407
"125","pre_drought","Site2","Set2","42",102.457893467306,131.656224691751,24.3135889908585,50.3162280907895,-26.002639099931,0.325789207874628
"126","pre_drought","Site2","Set2","48",98.5101336333997,138.938916544464,15.4749254181091,42.5235486197542,-27.0486232016451,0.266816078781772
"127","pre_drought","Site2","Set3","3",NA,197.505621625478,NA,110.180486820297,NA,NA
"128","pre_drought","Site2","Set3","6",NA,291.513602984869,NA,199.849621900778,NA,NA
"129","pre_drought","Site2","Set3","12",NA,334.508281043004,NA,250.936195502134,NA,NA
"130","pre_drought","Site2","Set3","18",NA,420.069551809689,NA,346.713033518063,NA,NA
"131","pre_drought","Site2","Set3","24",NA,434.142426102519,NA,340.362177267075,NA,NA
"132","pre_drought","Site2","Set3","30",NA,292.356601978475,NA,193.701390860336,NA,NA
"133","pre_drought","Site2","Set3","36",NA,194.814251051174,NA,107.530949282755,NA,NA
"134","pre_drought","Site2","Set3","42",NA,116.911258914481,NA,56.9823219934748,NA,NA
"135","pre_drought","Site2","Set3","48",NA,107.155820389987,NA,41.2858389699567,NA,NA
"136","pre_drought","Site2","Set4","3",474.339595897741,564.420456235753,409.399221646274,143.913089513108,265.486132133167,0.73990622183779
"137","pre_drought","Site2","Set4","6",837.956543647133,661.696026898741,763.22435464517,247.055866556738,516.168488088432,0.755458078489529
"138","pre_drought","Site2","Set4","12",954.489331561059,676.624042353541,881.216433707305,237.259350086541,643.957083620764,0.787872608844724
"139","pre_drought","Site2","Set4","18",698.752182554969,476.461836437815,641.038222663503,168.78443089726,472.253791766243,0.791578526291997
"140","pre_drought","Site2","Set4","24",495.580490655578,403.217024156529,436.096362927111,109.532842881673,326.563520045439,0.799254069035193
"141","pre_drought","Site2","Set4","30",430.693082877745,439.083775958182,342.72943520184,83.784658311986,258.944776889854,0.803559461255481
"142","pre_drought","Site2","Set4","36",418.361336370385,479.240389533864,331.961926857669,68.3272494618695,263.634677395799,0.829305278523629
