S1P1.C1_time,S1P1.C1,S1P3.C1_time,S1P3.C1,S1P5.C1_time,S1P5.C1,S2P1.C1_time,S2P1.C1,S2P3.C1_time,S2P3.C1,S2P5.C1_time,S2P5.C1,S3P1.C1_time,S3P1.C1,S3P3.C1_time,S3P3.C1,S3P5.C1_time,S3P5.C1,S1P2.C2_time,S1P2.C2,S1P4.C2_time,S1P4.C2,S1P6.C2_time,S1P6.C2,S2P2.C2_time,S2P2.C2,S2P4.C2_time,S2P4.C2,S2P6.C2_time,S2P6.C2,S3P2.C2_time,S3P2.C2,S3P4.C2_time,S3P4.C2,S3P6.C2_time,S3P6.C2,S1P2.W_time,S1P2.W,S1P4.W_time,S1P4.W
0.8724,0.00284,0.85736,,-0.12081,,0.86605,,0.88469,,0.82473,8.57E-04,0.84558,,0.85601,-0.00656,0.94856,,-0.12064,,0.20691,0.02227,0.90022,0.12336,0.82491,0.09671,0.86623,,0.88488,0.00773,0.94875,0.25901,0.84574,0.32525,0.85619,0.1174,0.60932,,0.61644,
0.91507,,0.90003,,-0.10657,,0.90869,,0.92742,-0.0054,0.86036,0.01459,0.88627,,0.89866,,1.00681,,-0.1064,,0.2283,0.0239,0.93578,0.15984,0.86053,0.08065,0.90887,,0.92758,0.02516,1.02126,0.31579,0.88644,0.2957,0.89884,,0.63767,,0.64478,
0.95073,0.00138,0.9356,,-0.09234,,0.94436,,0.96304,0.02646,0.90302,0.00344,0.92193,,0.93425,,1.04956,-0.00136,-0.09216,,0.24968,0.03177,1.02119,0.28548,0.90319,0.11642,0.94454,,0.96324,0.02405,1.06404,0.33002,0.92211,0.39583,0.93443,,0.659,,0.66612,
1.00676,0.00959,0.97824,0.02512,-0.0781,,1.01458,,1.00683,0.00562,0.93861,0.00483,0.96266,,0.99479,,1.0994,0.00351,-0.07793,,0.28872,0.02949,1.06388,0.33775,0.93877,0.11522,1.029,0.45162,1.02123,0.04021,1.11385,0.36997,0.96282,0.65461,1.00922,0.18776,0.68038,,0.6875,
1.04949,0.01299,1.00678,0.02048,-0.06387,,1.05734,0.00383,1.04953,0.02081,0.98123,-2.43E-04,1.00693,0.01853,1.03751,,1.14216,0.00425,-0.0637,,0.3244,0.04127,1.11361,0.32347,1.02123,0.12241,1.07176,0.45856,1.06391,0.0379,1.15661,0.39754,1.02138,0.70006,1.05196,0.29534,0.70174,,0.70885,
1.09922,0.02286,1.04948,0.02256,-0.04964,,1.10708,0.01235,1.09926,0.00245,1.00682,0.00653,1.04972,0.00994,1.08728,,1.19193,2.26E-04,-0.04948,,0.36705,0.03065,1.15631,0.31934,1.06398,0.14952,1.1215,0.47175,1.11366,,1.20639,0.28973,1.06414,0.69907,1.10169,0.3345,0.73014,,0.73728,
1.14197,0.01389,1.09921,0.02781,-4.86E-04,,1.1498,-0.00299,1.14196,,1.04956,0.01249,1.09953,0.02385,1.12999,,1.23472,0.00134,-3.24E-04,-0.01979,0.40271,0.04493,1.20608,0.45549,1.11377,0.19925,1.16424,0.5238,1.15638,,1.24918,0.25152,1.11392,0.92858,1.14444,0.35118,0.75149,,0.75861,
1.19175,0.01949,1.1419,0.03132,0.01374,-0.05037,1.19959,0.0023,1.19175,,1.09935,0.01021,1.14226,0.03716,1.17977,,1.29635,-0.00176,0.0139,-0.04715,0.44538,0.05332,1.24881,0.42378,1.15652,0.19435,1.21404,0.48807,1.20617,,1.29655,0.25476,1.15669,0.87885,1.19419,0.30829,0.77285,,0.77998,
1.23447,0.01873,1.19168,0.03645,0.02795,,1.24236,-0.00118,1.2345,,1.14209,0.01246,1.19208,0.02846,1.22248,,1.33197,-0.00322,0.02811,0.01067,0.48106,0.05535,1.28704,0.39144,1.20626,0.21311,1.25681,0.53545,1.24897,,1.33216,0.21342,1.20648,0.80053,1.2369,0.27694,0.79424,,0.80135,
1.2895,0.01316,1.23439,0.0486,0.04218,,1.30278,-0.01078,1.28792,,1.19183,0.02725,1.23486,0.02023,1.29109,,1.37462,-0.00917,0.04235,-0.00365,0.52375,0.04276,1.32267,0.36772,1.24898,0.22514,1.30296,0.48483,1.28809,,1.37481,0.21278,1.24926,0.7053,1.29128,0.23031,0.82263,,0.82975,
