S1P1.C1_time,S1P1.C1,S1P3.C1_time,S1P3.C1,S1P5.C1_time,S1P5.C1,S2P1.C1_time,S2P1.C1,S2P3.C1_time,S2P3.C1,S2P5.C1_time,S2P5.C1,S3P1.C1_time,S3P1.C1,S3P3.C1_time,S3P3.C1,S3P5.C1_time,S3P5.C1,S1P2.C2_time,S1P2.C2,S1P4.C2_time,S1P4.C2,S1P6.C2_time,S1P6.C2,S2P2.C2_time,S2P2.C2,S2P4.C2_time,S2P4.C2,S2P6.C2_time,S2P6.C2,S3P2.C2_time,S3P2.C2,S3P4.C2_time,S3P4.C2,S3P6.C2_time,S3P6.C2,S1P2.W_time,S1P2.W,S1P4.W_time,S1P4.W
1.00676,0.01426,0.97824,0.04836,-0.0781,0.01403,1.01458,0.0123,1.00683,0.03799,0.93861,,0.96266,0.00927,0.99479,0.01138,1.0994,2.57E-04,-0.07793,0.00197,0.28872,0.01249,1.06388,0.02306,0.93877,,1.029,0.0281,1.02123,,1.11385,0.00713,0.96282,0.03238,1.00922,0.02468,0.68038,,0.6875,
1.04949,-0.0022,1.00678,0.05047,-0.06387,0.00123,1.05734,0.00411,1.04953,0.04031,0.98123,,1.00693,0.02255,1.03751,-4.48E-04,1.14216,-0.01178,-0.0637,-0.0082,0.3244,0.01159,1.11361,0.02564,1.02123,0.03271,1.07176,0.02325,1.06391,,1.15661,0.00185,1.02138,0.01078,1.05196,0.01638,0.70174,,0.70885,
1.09922,0.02537,1.04948,0.05468,-0.04964,0.00775,1.10708,-0.00292,1.09926,0.02018,1.00682,0.01133,1.04972,0.02808,1.08728,0.00895,1.19193,-0.002,-0.04948,-0.0045,0.36705,0.01042,1.15631,0.04212,1.06398,,1.1215,0.03065,1.11366,-0.0138,1.20639,0.00276,1.06414,0.00276,1.10169,0.00674,0.73014,,0.73728,
1.14197,0.00329,1.09921,0.04569,-4.86E-04,0.01683,1.1498,0.00767,1.14196,,1.04956,0.01197,1.09953,0.01574,1.12999,0.00167,1.23472,0.00804,-3.24E-04,-0.00155,0.40271,0.01869,1.20608,0.02388,1.11377,0.03601,1.16424,0.01337,1.15638,,1.24918,0.00564,1.11392,0.01484,1.14444,0.02646,0.75149,,0.75861,
1.19175,0.01065,1.1419,0.05547,0.01374,0.0214,1.19959,0.00662,1.19175,,1.09935,,1.14226,0.02034,1.17977,0.00669,1.29635,0.02194,0.0139,-0.02606,0.44538,0.01411,1.24881,0.02671,1.15652,0.02171,1.21404,0.0355,1.20617,,1.29655,5.86E-04,1.15669,0.00928,1.19419,0.02241,0.77285,,0.77998,
1.23447,0.02868,1.19168,0.06232,0.02795,7.40E-06,1.24236,5.20E-04,1.2345,,1.14209,,1.19208,0.0232,1.22248,0.01173,1.33197,-0.00713,0.02811,0.01097,0.48106,0.00468,1.28704,0.0263,1.20626,,1.25681,0.0336,1.24897,,1.33216,0.00362,1.20648,0.01911,1.2369,0.006,0.79424,,0.80135,
1.2895,0.02437,1.23439,0.05308,0.04218,-0.00154,1.30278,0.002,1.28792,,1.19183,0.03456,1.23486,0.02747,1.29109,0.01002,1.37462,-0.01044,0.04235,0.02192,0.52375,0.00961,1.32267,0.01572,1.24898,0.03324,1.30296,0.02021,1.28809,,1.37481,0.0078,1.24926,0.01783,1.29128,0.00109,0.82263,,0.82975,
1.32515,0.03787,1.28688,0.05256,0.05641,-0.00371,1.33846,-0.0107,1.3235,0.03865,1.23455,0.01652,1.31479,0.02057,1.3267,0.00225,1.41027,0.00767,0.05657,-2.03E-04,0.55942,-0.00198,1.36528,0.0272,1.29876,0.04388,1.33863,0.02027,1.32369,7.31E-04,1.41046,0.00484,1.31495,0.01232,1.32689,0.0071,0.84396,,0.85109,
1.3658,0.01806,1.3225,0.03117,0.07061,-8.88E-04,1.38111,0.00942,1.36616,,1.28434,0.01309,1.35047,0.01943,1.36935,0.01687,1.45295,-0.01009,0.07078,0.01547,0.60206,,1.40086,0.02782,1.34148,0.02615,1.38128,0.03348,1.36635,,1.45316,,1.35064,0.02078,1.36954,0.01007,0.86534,,0.87245,
1.40149,0.01802,1.3651,0.02442,0.09189,0.02069,1.41677,0.00759,1.40175,0.02207,1.32707,,1.39317,0.01717,1.40497,-6.20E-04,1.48863,-0.00377,0.09205,0.0035,0.63775,0.01031,1.44344,0.01051,1.39127,0.03515,1.41694,0.02993,1.40194,-0.00491,1.48884,-0.00863,1.39333,0.02049,1.40515,-0.00744,0.88671,,0.89383,
1.44218,0.0206,1.40067,0.03419,0.1061,0.01052,1.45944,0.00596,1.44444,0.02847,1.37685,0.01297,1.42883,0.01491,1.44764,0.01018,1.53133,-0.00804,0.10626,0.00771,0.68039,0.01596,1.47903,0.01377,1.43403,0.00669,1.45962,0.02798,1.44464,0.00622,1.53153,0.00816,1.429,0.01285,1.44782,0.00486,0.91512,,0.92227,
1.47785,0.01897,1.44325,0.0309,0.12034,0.0097,1.49513,0.00993,1.48006,0.02704,1.41959,,1.47155,0.00632,1.48326,,1.56699,,0.12049,0.00902,0.71603,0.01951,1.52164,0.01454,1.48383,0.0207,1.4953,0.02736,1.48027,0.00869,1.5672,0.01285,1.47171,9.31E-05,1.48345,,0.93654,,0.94363,
1.51855,0.02217,1.47885,,0.13454,0.02894,1.53781,-0.0023,1.52279,0.02294,1.46941,0.00746,1.50721,0.01964,1.52594,-0.00687,1.60966,,0.1347,-0.00461,0.75866,0.0129,1.55723,0.01612,1.52659,0.019,1.53799,0.02497,1.52299,,1.60987,,1.50737,-0.00507,1.52612,-8.92E-04,0.95789,,0.96501,
1.55422,9.21E-04,1.52147,0.03504,0.14875,0.00961,1.57348,-0.00266,1.55843,,1.51216,0.01072,1.54992,0.00507,1.56154,0.00117,1.64538,,0.14891,-0.00239,0.79429,-0.00609,1.59986,,1.57632,0.0058,1.57366,0.02051,1.55862,,1.64558,,1.55009,,1.56172,0.00696,0.97927,0.00505,0.98639,
1.59499,,1.55705,0.01618,0.16296,0.0074,1.61615,0.00852,1.60116,,1.56192,,1.5856,0.01064,1.60411,,1.68806,,0.16314,0.02362,0.83696,0.01784,1.63544,,1.61903,,1.61634,0.01957,1.60135,,1.68825,,1.58578,,1.60429,,1.00771,,1.01481,0.00215
1.63067,,1.59968,,0.18421,0.01057,1.65182,0.00112,1.63678,,1.60463,,1.62826,,1.63976,,1.72373,,0.18438,0.01235,0.8726,0.01446,1.67816,-0.00111,1.66873,,1.65199,0.00789,1.63696,9.04E-04,1.72394,,1.6284,,1.63994,,1.0599,0.01665,1.06701,-6.79E-04
1.67135,0.01129,1.63527,,0.19843,0.02676,1.69446,0.00681,1.67947,0.02377,1.65432,,1.66385,0.01133,1.68242,,1.76637,,0.1986,-9.77E-04,0.91525,0.01842,1.71382,0.00696,1.71146,,1.69463,-3.03E-04,1.67966,3.98E-04,1.76657,,1.66402,,1.6826,0.00529,1.11903,-0.00212,1.12613,
1.707,0.00308,1.67797,,0.21267,-0.00488,1.73009,0.01183,1.71508,-0.00327,1.69704,,1.70659,0.01539,1.71804,0.00488,1.80201,,0.21282,0.00605,0.95091,0.00976,1.7565,0.01989,1.76119,,1.73027,0.00904,1.71528,,1.80221,,1.70674,7.02E-04,1.71823,,1.17814,0.00596,1.18524,
1.74774,,1.71363,0.02205,0.22689,-0.00107,1.77272,0.00617,1.75775,0.01867,1.74682,,1.74223,,1.76069,,1.84465,,0.22705,0.0094,1.0212,0.02027,1.79218,0.01057,1.80396,,1.77289,0.00151,1.75792,0.00997,1.84486,,1.74241,0.01267,1.76088,,1.24434,9.57E-04,1.25145,-9.12E-04
1.78341,,1.75632,0.03137,0.24111,0.02176,1.80836,0.00778,1.79333,0.0065,1.78954,,1.78493,0.00973,1.79631,,1.8803,,0.24128,-0.00457,1.06392,0.00421,1.83479,0.01927,1.85368,,1.80853,0.01047,1.7935,,1.8805,,1.7851,0.01209,1.79649,,1.30344,0.00283,1.31054,-0.00158
1.82413,0.01205,1.79199,0.01378,0.25534,0.01227,1.85102,-0.00487,1.83597,0.00915,1.83927,,1.82059,0.00921,1.83899,0.00886,1.92297,,0.2555,0.01286,1.11366,0.02909,1.87046,,1.89645,,1.85119,0.00263,1.83617,0.01945,1.92317,,1.82075,0.01719,1.83918,,1.36259,,1.3697,
