S1P1.C1_time,S1P1.C1,S1P3.C1_time,S1P3.C1,S1P5.C1_time,S1P5.C1,S2P1.C1_time,S2P1.C1,S2P3.C1_time,S2P3.C1,S2P5.C1_time,S2P5.C1,S3P1.C1_time,S3P1.C1,S3P3.C1_time,S3P3.C1,S3P5.C1_time,S3P5.C1,S1P2.C2_time,S1P2.C2,S1P4.C2_time,S1P4.C2,S1P6.C2_time,S1P6.C2,S2P2.C2_time,S2P2.C2,S2P4.C2_time,S2P4.C2,S2P6.C2_time,S2P6.C2,S3P2.C2_time,S3P2.C2,S3P4.C2_time,S3P4.C2,S3P6.C2_time,S3P6.C2,S1P2.W_time,S1P2.W,S1P4.W_time,S1P4.W
1.32515,20.34236,1.28688,15.12993,0.05641,-28.49238,1.33846,-32.41934,1.3235,9.22104,1.23455,6.29171,1.31479,-6.03669,1.3267,-3.90157,1.41027,24.23585,0.05657,-5.76362,0.55942,,1.36528,73.6542,1.29876,139.63299,1.33863,46.08786,1.32369,5.12463,1.41046,16.91737,1.31495,32.2323,1.32689,37.65157,0.84396,,0.85109,
1.3658,-3.13468,1.3225,-16.29173,0.07061,-26.81944,1.38111,3.15336,1.36616,,1.28434,-5.52449,1.35047,2.80269,1.36935,45.07218,1.45295,-39.74067,0.07078,52.07055,0.60206,,1.40086,76.71546,1.34148,69.04021,1.38128,76.77339,1.36635,,1.45316,39.15683,1.35064,81.72939,1.36954,33.68299,0.86534,,0.87245,
1.40149,-15.04841,1.3651,-26.50399,0.09189,12.82818,1.41677,0.55547,1.40175,4.09386,1.32707,35.08695,1.39317,2.15463,1.40497,-12.78488,1.48863,-11.25301,0.09205,15.09424,0.63775,,1.44344,26.22409,1.39127,115.59485,1.41694,65.29851,1.40194,,1.48884,-38.85763,1.39333,72.75631,1.40515,-41.63221,0.88671,,0.89383,
1.44218,2.78632,1.40067,-8.10945,0.1061,2.70781,1.45944,6.44919,1.44444,15.28058,1.37685,14.25212,1.42883,-0.45104,1.44764,25.81993,1.53133,-27.66316,0.10626,19.98094,0.68039,,1.47903,38.78364,1.43403,25.03885,1.45962,79.43197,1.44464,22.94357,1.53153,30.28416,1.429,55.88681,1.44782,16.7013,0.91512,,0.92227,
1.47785,16.56906,1.44325,7.75001,0.12034,-11.70081,1.49513,13.30147,1.48006,24.37599,1.41959,2.40028,1.47155,-10.17246,1.48326,2.64392,1.56699,-12.666,0.12049,23.71106,0.71603,77.39837,1.52164,43.61826,1.48383,81.2728,1.4953,75.5393,1.48027,51.01059,1.5672,48.71804,1.47171,6.44243,1.48345,19.22681,0.93654,,0.94363,
1.51855,14.92201,1.47885,27.64583,0.13454,23.49386,1.53781,-16.72158,1.52279,20.56794,1.46941,0.49191,1.50721,19.9254,1.52594,-33.96406,1.60966,,0.1347,-11.98468,0.75866,38.37223,1.55723,59.16471,1.52659,80.1264,1.53799,68.44877,1.52299,52.12987,1.60987,,1.50737,-25.36039,1.52612,-9.43658,0.95789,,0.96501,4.25689
1.55422,-33.85996,1.52147,6.95442,0.14875,-15.31621,1.57348,-23.18763,1.55843,-1.17569,1.51216,10.20348,1.54992,-18.2003,1.56154,-11.97403,1.64538,,0.14891,-11.57865,0.79429,,1.59986,,1.57632,23.62583,1.57366,77.92954,1.55862,5.40467,1.64558,,1.55009,16.74588,1.56172,25.5327,0.97927,31.11188,0.98639,-46.91527
1.59499,,1.55705,-19.74347,0.16296,-14.79801,1.61615,3.79801,1.60116,,1.56192,0.16135,1.5856,0.55226,1.60411,,1.68806,,0.16314,80.70911,0.83696,62.94384,1.63544,-16.14879,1.61903,,1.61634,58.09077,1.60135,,1.68825,,1.58578,,1.60429,,1.00771,-7.48587,1.01481,8.05256
1.63067,,1.59968,,0.18421,-4.92374,1.65182,-20.67196,1.63678,,1.60463,,1.62826,,1.63976,,1.72373,,0.18438,39.21924,0.8726,53.19666,1.67816,-12.16892,1.66873,,1.65199,24.62027,1.63696,,1.72394,,1.6284,,1.63994,27.60985,1.0599,83.16399,1.06701,-4.63422
1.67135,8.2101,1.63527,,0.19843,19.01205,1.69446,12.78855,1.67947,28.49342,1.65432,,1.66385,4.06947,1.68242,-35.74716,1.76637,,0.1986,0.51136,0.91525,84.29848,1.71382,25.96248,1.71146,,1.69463,-8.73797,1.67966,2.00316,1.76657,,1.66402,29.70379,1.6826,30.92836,1.11903,-20.11338,1.12613,-21.80066
