S1P1.C1_time,S1P1.C1,S1P3.C1_time,S1P3.C1,S1P5.C1_time,S1P5.C1,S2P1.C1_time,S2P1.C1,S2P3.C1_time,S2P3.C1,S2P5.C1_time,S2P5.C1,S3P1.C1_time,S3P1.C1,S3P3.C1_time,S3P3.C1,S3P5.C1_time,S3P5.C1,S1P2.C2_time,S1P2.C2,S1P4.C2_time,S1P4.C2,S1P6.C2_time,S1P6.C2,S2P2.C2_time,S2P2.C2,S2P4.C2_time,S2P4.C2,S2P6.C2_time,S2P6.C2,S3P2.C2_time,S3P2.C2,S3P4.C2_time,S3P4.C2,S3P6.C2_time,S3P6.C2,S1P2.W_time,S1P2.W,S1P4.W_time,S1P4.W
0.8724,32.62095,0.85736,232.66957,-0.12081,176.83708,0.86605,,0.88469,116.17799,0.82473,207.546,0.84558,360.64603,0.85601,,0.94856,-117.76553,-0.12064,,0.20691,-3.03082,0.90022,151.41432,0.82491,559.74502,0.86623,,0.88488,5.83435,0.94875,341.59031,0.84574,229.3646,0.85619,142.21963,0.60932,,0.61644,
0.91507,-63.27389,0.90003,242.87201,-0.10657,,0.90869,,0.92742,159.76016,0.86036,165.30144,0.88627,514.80545,0.89866,,1.00681,18.9359,-0.1064,,0.2283,-21.78123,0.93578,53.38933,0.86053,452.69591,0.90887,,0.92758,-24.51917,1.02126,176.22427,0.88644,256.08185,0.89884,,0.63767,,0.64478,
0.95073,61.82241,0.9356,150.33317,-0.09234,,0.94436,,0.96304,185.30224,0.90302,176.97196,0.92193,395.30559,0.93425,,1.04956,-0.20221,-0.09216,149.36536,0.24968,3.0202,1.02119,222.09336,0.90319,186.63601,0.94454,,0.96324,-1.42063,1.06404,150.07829,0.92211,99.63078,0.93443,,0.659,,0.66612,
1.00676,104.2969,0.97824,210.64492,-0.0781,,1.01458,54.77961,1.00683,85.53944,0.93861,234.78005,0.96266,268.31635,0.99479,68.74615,1.0994,-35.31343,-0.07793,,0.28872,-42.45292,1.06388,233.22101,0.93877,467.68185,1.029,231.74474,1.02123,29.08164,1.11385,86.74269,0.96282,269.65185,1.00922,182.7416,0.68038,,0.6875,
1.04949,134.68975,1.00678,328.40757,-0.06387,135.02755,1.05734,88.41465,1.04953,106.94005,0.98123,153.16916,1.00693,377.02245,1.03751,4.80089,1.14216,14.37041,-0.0637,,0.3244,107.03945,1.11361,169.19042,1.02123,307.53619,1.07176,240.92227,1.06391,23.29359,1.15661,121.05186,1.02138,250.01133,1.05196,172.15609,0.70174,,0.70885,
1.09922,140.42867,1.04948,251.68183,-0.04964,90.44567,1.10708,53.57397,1.09926,107.56346,1.00682,97.85434,1.04972,231.19375,1.08728,25.66464,1.19193,21.59526,-0.04948,,0.36705,99.38193,1.15631,251.77554,1.06398,387.57184,1.1215,186.90026,1.11366,10.0672,1.20639,117.6851,1.06414,157.20638,1.10169,154.51577,0.73014,,0.73728,
1.14197,81.47645,1.09921,238.48729,-4.86E-04,-87.2476,1.1498,77.41326,1.14196,,1.04956,110.69786,1.09953,271.30233,1.12999,42.35667,1.23472,-26.38924,-3.24E-04,-146.24052,0.40271,-7.96556,1.20608,190.03618,1.11377,347.85898,1.16424,192.59181,1.15638,,1.24918,98.64935,1.11392,189.2376,1.14444,180.10823,0.75149,,0.75861,
1.19175,77.21862,1.1419,199.79195,0.01374,59.48887,1.19959,36.20404,1.19175,,1.09935,149.88052,1.14226,238.55047,1.17977,-2.42222,1.29635,-64.25889,0.0139,67.98822,0.44538,33.3403,1.24881,163.18066,1.15652,338.14169,1.21404,188.68929,1.20617,,1.29655,112.22228,1.15669,136.78804,1.19419,126.34722,0.77285,,0.77998,
1.23447,54.17007,1.19168,217.18845,0.02795,74.30267,1.24236,33.42438,1.2345,,1.14209,196.38969,1.19208,195.42006,1.22248,5.99411,1.33197,19.66653,0.02811,17.57821,0.48106,-16.20672,1.28704,139.90469,1.20626,373.89513,1.25681,218.84696,1.24897,,1.33216,154.7374,1.20648,127.77539,1.2369,158.17966,0.79424,,0.80135,
1.2895,55.91058,1.23439,183.70028,0.04218,7.2986,1.30278,65.90511,1.28792,,1.19183,180.861,1.23486,296.26211,1.29109,64.22579,1.37462,6.96557,0.04235,-21.54989,0.52375,84.09813,1.32267,70.21523,1.24898,293.85671,1.30296,175.99936,1.28809,,1.37481,59.73957,1.24926,182.72421,1.29128,106.73493,0.82263,,0.82975,
1.32515,127.35292,1.28688,243.18231,0.05641,-31.46738,1.33846,66.55778,1.3235,71.04015,1.23455,117.35932,1.31479,253.31286,1.3267,1.23312,1.41027,-16.90523,0.05657,169.70766,0.55942,,1.36528,102.95359,1.29876,229.39075,1.33863,184.70097,1.32369,-4.77631,1.41046,56.48456,1.31495,184.37552,1.32689,72.25985,0.84396,,0.85109,
1.3658,68.40652,1.3225,223.45285,0.07061,11.11434,1.38111,98.21329,1.36616,,1.28434,155.61207,1.35047,215.5608,1.36935,-14.24401,1.45295,23.2922,0.07078,5.0301,0.60206,,1.40086,85.86987,1.34148,261.19404,1.38128,182.51566,1.36635,,1.45316,73.01604,1.35064,184.53467,1.36954,119.63866,0.86534,,0.87245,
1.40149,74.91947,1.3651,119.91393,0.09189,-5.68679,1.41677,-7.84491,1.40175,114.06988,1.32707,152.22401,1.39317,346.90409,1.40497,67.281,1.48863,22.76824,0.09205,-112.50514,0.63775,,1.44344,64.94852,1.39127,279.3052,1.41694,170.02176,1.40194,-12.3698,1.48884,-28.34755,1.39333,138.78486,1.40515,177.42473,0.88671,,0.89383,
1.44218,60.44901,1.40067,122.5287,0.1061,-15.7093,1.45944,-14.78674,1.44444,127.23092,1.37685,34.71229,1.42883,332.37633,1.44764,51.97828,1.53133,-6.45375,0.10626,113.41412,0.68039,,1.47903,165.97987,1.43403,344.96194,1.45962,201.61987,1.44464,-31.87376,1.53153,214.48383,1.429,246.00091,1.44782,262.06431,0.91512,,0.92227,
1.47785,72.3837,1.44325,190.86878,0.12034,115.24436,1.49513,7.81215,1.48006,193.8994,1.41959,173.70772,1.47155,182.74124,1.48326,75.46182,1.56699,-99.88299,0.12049,69.15656,0.71603,,1.52164,152.21914,1.48383,221.19706,1.4953,135.12751,1.48027,82.54439,1.5672,104.22336,1.47171,335.52198,1.48345,224.40763,0.93654,,0.94363,
1.51855,122.82966,1.47885,148.64423,0.13454,55.18901,1.53781,111.34118,1.52279,213.80834,1.46941,65.00861,1.50721,398.36504,1.52594,-16.48717,1.60966,,0.1347,14.92877,0.75866,24.19825,1.55723,161.45858,1.52659,324.6028,1.53799,142.08382,1.52299,142.70974,1.60987,,1.50737,399.71247,1.52612,155.82533,0.95789,175.00737,0.96501,44.68705
1.55422,73.58766,1.52147,237.90809,0.14875,59.57995,1.57348,117.99111,1.55843,307.74916,1.51216,139.14822,1.54992,167.08114,1.56154,-52.3927,1.64538,,0.14891,-13.21809,0.79429,,1.59986,,1.57632,386.801,1.57366,230.07522,1.55862,-128.46983,1.64558,,1.55009,288.90353,1.56172,85.68149,0.97927,179.92431,0.98639,54.30745
1.59499,,1.55705,180.32965,0.16296,73.39481,1.61615,38.71609,1.60116,,1.56192,57.10323,1.5856,344.67315,1.60411,,1.68806,,0.16314,36.72178,0.83696,47.53857,1.63544,-132.02198,1.61903,,1.61634,132.79243,1.60135,,1.68825,,1.58578,,1.60429,,1.00771,164.73135,1.01481,70.9527
1.63067,,1.59968,,0.18421,49.90687,1.65182,130.5241,1.63678,,1.60463,,1.62826,,1.63976,,1.72373,,0.18438,0.74446,0.8726,136.61815,1.67816,125.20578,1.66873,,1.65199,252.52464,1.63696,34.52437,1.72394,,1.6284,,1.63994,51.14651,1.0599,145.35662,1.06701,9.23322
1.67135,-13.55857,1.63527,,0.19843,158.72329,1.69446,,1.67947,183.72181,1.65432,,1.66385,290.46388,1.68242,49.63704,1.76637,,0.1986,-9.53392,0.91525,26.45579,1.71382,103.60649,1.71146,,1.69463,251.98201,1.67966,119.7807,1.76657,,1.66402,127.22952,1.6826,374.97447,1.11903,116.82236,1.12613,-40.01514
1.707,64.59353,1.67797,224.72027,0.21267,94.51894,1.73009,29.35065,1.71508,185.67574,1.69704,,1.70659,241.21568,1.71804,-51.27784,1.80201,,0.21282,-59.54367,0.95091,108.46991,1.7565,134.86411,1.76119,,1.73027,283.48666,1.71528,-109.46625,1.80221,,1.70674,107.56261,1.71823,55.912,1.17814,75.28474,1.18524,90.67
1.74774,275.37046,1.71363,169.24213,0.22689,49.24997,1.77272,21.45127,1.75775,179.08969,1.74682,,1.74223,306.42792,1.76069,296.04029,1.84465,,0.22705,100.39958,1.0212,114.0228,1.79218,84.65371,1.80396,,1.77289,147.93515,1.75792,32.32794,1.84486,,1.74241,163.58038,1.76088,-3.42353,1.24434,106.40115,1.25145,-25.93004
1.78341,220.40203,1.75632,164.97959,0.24111,97.70519,1.80836,5.37501,1.79333,215.48612,1.78954,,1.78493,212.23892,1.79631,245.43413,1.8803,,0.24128,7.86506,1.06392,45.96444,1.83479,203.04236,1.85368,,1.80853,371.35299,1.7935,,1.8805,,1.7851,201.09427,1.79649,216.12308,1.30344,142.99937,1.31054,50.75864
1.82413,159.09509,1.79199,124.38716,0.25534,36.68424,1.85102,66.19309,1.83597,167.36358,1.83927,,1.82059,177.73328,1.83899,,1.92297,,0.2555,-13.29826,1.11366,44.98123,1.87046,138.00602,1.89645,,1.85119,187.47538,1.83617,211.69771,1.92317,,1.82075,218.60414,1.83918,485.62507,1.36259,112.66824,1.3697,57.91693
1.85981,123.36157,1.83464,229.9491,0.27657,104.23361,1.88667,-158.51273,1.87161,131.99703,1.88201,,1.8633,297.61388,1.87462,215.99306,1.95865,34.58461,0.27674,12.26762,1.1564,50.91375,1.91308,,1.94625,,1.88684,304.69361,1.87181,,1.95884,183.69064,1.86347,176.17808,1.87481,-31.30262,1.42877,76.33178,1.43589,-12.60894
1.9005,142.22528,1.87028,216.21469,0.29079,79.09642,1.92932,35.91545,1.91428,246.65766,1.93183,,1.89898,378.14593,1.91726,215.75569,,,0.29095,49.96889,1.20617,37.31892,1.94868,,1.989,335.31282,1.92949,138.49705,1.91444,,,,1.89916,333.64368,1.91744,551.91513,1.48791,117.50927,1.49501,-5.23255
1.93617,315.61738,1.91291,,0.30501,114.4156,1.96498,109.8381,1.94984,222.61254,1.97457,243.26337,1.94168,222.56138,1.95284,158.74675,,,0.30517,54.98149,1.24894,3.20117,,,,,1.96515,33.87785,1.95,-36.77345,,,1.94185,203.30205,1.95302,362.21927,1.54704,130.94889,1.55414,80.70536
1.97689,7.14067,1.94851,,0.31922,91.61235,,,,,2.02438,37.64273,1.97733,226.33515,,,,,0.31939,62.26704,1.2897,-14.28548,,,,,,,,,,,,,,,1.61324,,1.62037,
,,,,0.33345,145.2416,,,,,,,,,,,,,0.33361,-15.20018,1.32536,-31.89398,,,,,,,,,,,,,,,1.67236,184.53326,1.67948,937.20902
