S1P1.C1_time,S1P1.C1,S1P3.C1_time,S1P3.C1,S1P5.C1_time,S1P5.C1,S2P1.C1_time,S2P1.C1,S2P3.C1_time,S2P3.C1,S2P5.C1_time,S2P5.C1,S3P1.C1_time,S3P1.C1,S3P3.C1_time,S3P3.C1,S3P5.C1_time,S3P5.C1,S1P2.C2_time,S1P2.C2,S1P4.C2_time,S1P4.C2,S1P6.C2_time,S1P6.C2,S2P2.C2_time,S2P2.C2,S2P4.C2_time,S2P4.C2,S2P6.C2_time,S2P6.C2,S3P2.C2_time,S3P2.C2,S3P4.C2_time,S3P4.C2,S3P6.C2_time,S3P6.C2,S1P2.W_time,S1P2.W,S1P4.W_time,S1P4.W
1.09922,0.03096,1.04948,0.05808,-0.04964,0.00219,1.10708,0.00888,1.09926,0.04784,1.00682,0.01791,1.04972,0.06718,1.08728,,1.19193,0.0038,-0.04948,,0.36705,,1.15631,0.06287,1.06398,0.12785,1.1215,0.06274,1.11366,0.00239,1.20639,0.03158,1.06414,0.03009,1.10169,0.02597,0.73014,,0.73728,
1.14197,0.02397,1.09921,0.0803,-4.86E-04,-0.01328,1.1498,0.01729,1.14196,,1.04956,0.02054,1.09953,0.0879,1.12999,0.00594,1.23472,-0.005,-3.24E-04,,0.40271,,1.20608,0.05276,1.11377,0.15473,1.16424,0.07883,1.15638,,1.24918,0.0263,1.11392,0.05498,1.14444,0.0346,0.75149,,0.75861,
1.19175,0.02017,1.1419,0.06668,0.01374,0.05985,1.19959,0.00719,1.19175,,1.09935,0.03695,1.14226,0.06422,1.17977,-0.00283,1.29635,-0.01352,0.0139,0.04477,0.44538,0.00414,1.24881,0.05246,1.15652,0.16356,1.21404,0.07566,1.20617,,1.29655,0.01803,1.15669,0.03376,1.19419,0.02581,0.77285,,0.77998,
1.23447,0.01946,1.19168,0.08902,0.02795,0.00544,1.24236,0.00827,1.2345,,1.14209,0.0561,1.19208,0.04205,1.22248,-7.80E-05,1.33197,0.00138,0.02811,,0.48106,,1.28704,0.04692,1.20626,0.19302,1.25681,0.07816,1.24897,,1.33216,0.02946,1.20648,0.03352,1.2369,0.03588,0.79424,,0.80135,
1.2895,0.01342,1.23439,0.08266,0.04218,,1.30278,0.01292,1.28792,,1.19183,0.05238,1.23486,0.05216,1.29109,0.01046,1.37462,-0.00153,0.04235,-0.0025,0.52375,,1.32267,0.0316,1.24898,0.14944,1.30296,0.05559,1.28809,,1.37481,,1.24926,0.04338,1.29128,,0.82263,,0.82975,
1.32515,0.03402,1.28688,0.1007,0.05641,,1.33846,0.01086,1.3235,0.02723,1.23455,0.04033,1.31479,,1.3267,0.00389,1.41027,7.51E-04,0.05657,,0.55942,0.00142,1.36528,0.03864,1.29876,0.11614,1.33863,0.05668,1.32369,,1.41046,0.01587,1.31495,0.0283,1.32689,,0.84396,,0.85109,
1.3658,0.01315,1.3225,0.09191,0.07061,0.00272,1.38111,0.01909,1.36616,,1.28434,0.04262,1.35047,0.03634,1.36935,6.64E-04,1.45295,,0.07078,0.00183,0.60206,0.00488,1.40086,0.03396,1.34148,0.09737,1.38128,0.05617,1.36635,,1.45316,0.00768,1.35064,0.02475,1.36954,,0.86534,,0.87245,
1.40149,0.01703,1.3651,0.05944,0.09189,,1.41677,-0.00366,1.40175,0.03211,1.32707,0.03907,1.39317,0.04374,1.40497,0.00856,1.48863,,0.09205,-0.00419,0.63775,,1.44344,0.02935,1.39127,0.07891,1.41694,0.0528,1.40194,-0.00354,1.48884,,1.39333,0.02282,1.40515,,0.88671,,0.89383,
1.44218,0.0118,1.40067,0.04817,0.1061,,1.45944,-9.92E-04,1.44444,0.02978,1.37685,0.00596,1.42883,0.0273,1.44764,,1.53133,-7.84E-04,0.10626,0.01166,0.68039,,1.47903,0.05272,1.43403,0.11984,1.45962,0.06113,1.44464,,1.53153,,1.429,0.02248,1.44782,,0.91512,,0.92227,
1.47785,0.00705,1.44325,0.07216,0.12034,0.01331,1.49513,,1.48006,0.0409,1.41959,0.03241,1.47155,,1.48326,0.00557,1.56699,,0.12049,,0.71603,,1.52164,0.0435,1.48383,0.06385,1.4953,0.03967,1.48027,0.00553,1.5672,,1.47171,0.03338,1.48345,,0.93654,,0.94363,
1.51855,0.01718,1.47885,0.05939,0.13454,0.0053,1.53781,,1.52279,0.03577,1.46941,0.01689,1.50721,,1.52594,,1.60966,,0.1347,0.00424,0.75866,,1.55723,0.04298,1.52659,0.06701,1.53799,0.03323,1.52299,0.00857,1.60987,,1.50737,0.037,1.52612,,0.95789,0.02112,0.96501,
1.55422,0.00618,1.52147,0.0726,0.14875,-0.00649,1.57348,,1.55843,0.04231,1.51216,0.02073,1.54992,,1.56154,,1.64538,,0.14891,-0.00176,0.79429,,1.59986,-0.00158,1.57632,0.08922,1.57366,0.0384,1.55862,,1.64558,,1.55009,,1.56172,0.01559,0.97927,,0.98639,
1.59499,,1.55705,0.0503,0.16296,0.01041,1.61615,,1.60116,,1.56192,0.00907,1.5856,,1.60411,,1.68806,,0.16314,,0.83696,,1.63544,,1.61903,,1.61634,0.0354,1.60135,0.00415,1.68825,,1.58578,,1.60429,-0.00229,1.00771,0.03009,1.01481,
1.63067,,1.59968,,0.18421,0.00783,1.65182,,1.63678,-0.00689,1.60463,,1.62826,,1.63976,,1.72373,,0.18438,0.00368,0.8726,,1.67816,0.03419,1.66873,,1.65199,0.04058,1.63696,0.00583,1.72394,,1.6284,,1.63994,,1.0599,0.03061,1.06701,
1.67135,,1.63527,0.00888,0.19843,0.02465,1.69446,,1.67947,0.03841,1.65432,,1.66385,0.02828,1.68242,0.0028,1.76637,,0.1986,7.23E-04,0.91525,0.00152,1.71382,0.02505,1.71146,,1.69463,0.04106,1.67966,,1.76657,,1.66402,,1.6826,,1.11903,0.02698,1.12613,-0.00827
1.707,0.00434,1.67797,0.04563,0.21267,0.01878,1.73009,0.00149,1.71508,,1.69704,,1.70659,,1.71804,-0.00566,1.80201,,0.21282,-0.0128,0.95091,,1.7565,0.02814,1.76119,,1.73027,0.04096,1.71528,,1.80221,,1.70674,,1.71823,,1.17814,,1.18524,
1.74774,,1.71363,,0.22689,0.01168,1.77272,,1.75775,,1.74682,,1.74223,,1.76069,-0.00214,1.84465,,0.22705,,1.0212,,1.79218,0.0113,1.80396,,1.77289,0.02699,1.75792,0.00185,1.84486,,1.74241,0.03563,1.76088,,1.24434,0.02884,1.25145,-0.00415
1.78341,0.01972,1.75632,0.03438,0.24111,,1.80836,,1.79333,0.03723,1.78954,,1.78493,,1.79631,,1.8803,,0.24128,0.00126,1.06392,0.0071,1.83479,0.03512,1.85368,,1.80853,0.04223,1.7935,,1.8805,,1.7851,,1.79649,,1.30344,0.03098,1.31054,0.00958
1.82413,0.01065,1.79199,0.02413,0.25534,0.00455,1.85102,0.00427,1.83597,,1.83927,,1.82059,,1.83899,0.01573,1.92297,,0.2555,4.22E-05,1.11366,0.00744,1.87046,,1.89645,,1.85119,0.03504,1.83617,,1.92317,,1.82075,0.03559,1.83918,,1.36259,0.01752,1.3697,0.01389
1.85981,0.01154,1.83464,,0.27657,0.01804,1.88667,,1.87161,0.01914,1.88201,,1.8633,,1.87462,,1.95865,0.00158,0.27674,,1.1564,0.00756,1.91308,,1.94625,,1.88684,0.03607,1.87181,,1.95884,,1.86347,0.03705,1.87481,,1.42877,0.01729,1.43589,
1.9005,,1.87028,0.0423,0.29079,0.01352,1.92932,,1.91428,,1.93183,,1.89898,,1.91726,,,,0.29095,0.00525,1.20617,0.00542,1.94868,,1.989,0.15541,1.92949,0.0191,1.91444,,,,1.89916,0.04851,1.91744,,1.48791,0.0182,1.49501,
1.93617,,1.91291,,0.30501,0.01793,1.96498,,1.94984,0.05066,1.97457,0.04791,1.94168,0.03176,1.95284,0.00232,,,0.30517,0.00778,1.24894,-4.92E-04,,,,,1.96515,,1.95,,,,1.94185,0.04465,1.95302,0.01043,1.54704,,1.55414,0.01182
