S1P1.C1_time,S1P1.C1,S1P3.C1_time,S1P3.C1,S1P5.C1_time,S1P5.C1,S2P1.C1_time,S2P1.C1,S2P3.C1_time,S2P3.C1,S2P7.C1_time,S2P7.C1,S3P1.C1_time,S3P1.C1,S3P3.C1_time,S3P3.C1,S3P5.C1_time,S3P5.C1,S1P2.C2_time,S1P2.C2,S1P4.C2_time,S1P4.C2,S1P6.C2_time,S1P6.C2,S2P8.C2_time,S2P8.C2,S2P4.C2_time,S2P4.C2,S2P6.C2_time,S2P6.C2,S3P2.C2_time,S3P2.C2,S3P4.C2_time,S3P4.C2,S3P6.C2_time,S3P6.C2
1.4576,-0.44628,1.48914,17.96269,-0.80229,-17.49561,1.39968,13.55696,1.50587,-4.16916,0.97179,-22.82927,1.36906,-6.97483,1.52027,0.40261,1.46782,-6.77474,-0.77356,-5.13242,1.53264,-10.4801,1.60333,,0.97892,32.53141,1.5139,3.09713,1.56904,,1.50716,1.25218,1.50694,2.33799,1.62366,
1.49323,1.60775,1.52836,0.91831,-0.78801,3.11358,1.43889,-3.63613,1.54148,-0.66063,0.99315,27.608,1.41993,-9.60245,1.56302,,1.50699,-11.86054,-0.75931,-8.89566,1.56832,,1.63896,,1.00028,13.6326,1.54956,,1.60466,,1.54281,,1.54256,,1.66639,
1.53244,0.10169,1.564,,-0.77376,3.69162,1.47455,7.61208,1.58066,,1.01453,0.52262,1.45553,1.32254,1.60925,,1.54264,0.14083,-0.74502,2.83616,1.60757,,1.67806,,1.02166,-1.21954,1.58872,,1.64381,,1.58196,,1.59373,,1.71267,11.26507
1.56813,,1.60315,,-0.75949,7.73365,1.51373,-5.45316,1.61631,,1.03588,3.1733,1.50678,14.96438,1.65194,,1.58177,,-0.73075,-14.65686,1.64316,,1.71366,-9.82089,1.04301,5.37734,1.62437,,1.6794,,1.61762,,1.62934,,1.75541,-18.55642
1.60741,,1.6388,,-0.74522,17.53048,1.54939,,1.65544,,1.06082,18.75498,1.54238,-2.17975,1.69822,-10.83046,1.61743,,-0.71293,-8.00546,1.6824,,1.75278,-4.93189,1.06796,36.753,1.66355,,1.71858,3.78654,1.65676,,1.68057,,1.80166,3.07906
1.64296,,1.67789,,-0.73095,1.10262,1.58854,,1.69103,,1.08219,-3.8402,1.59356,,1.74096,-10.0836,1.65657,,-0.69867,-3.5003,1.71804,5.42167,1.7884,12.12804,1.08932,46.35597,1.69921,,1.75419,2.35722,1.69242,,1.71619,-1.62534,1.84438,-6.25165
1.6822,,1.71348,13.22203,-0.71312,16.76647,1.6242,,1.7302,-19.8372,1.10358,-0.34057,1.62918,,1.78721,-0.43888,1.69222,,-0.68439,0.86453,1.75726,11.81052,1.82757,11.65394,1.11071,-13.95485,1.73838,-4.89029,1.79334,1.25726,1.73159,13.40565,1.76736,2.69015,1.89063,2.40532
1.71785,15.13948,1.75262,-0.39356,-0.69888,16.65666,1.66338,,1.76581,-8.36039,1.12493,29.45327,1.68041,,1.82994,-15.95333,1.73138,-0.81555,-0.6701,-14.38763,1.79291,-0.92872,1.86315,2.6787,1.13206,-33.97116,1.77404,-6.35361,1.82895,15.2186,1.76723,5.95042,1.80319,15.82722,1.93334,-9.21805
1.75706,6.62606,1.78823,2.50224,-0.68461,-2.91025,1.69904,,1.80497,-17.71465,1.14985,2.62947,1.71602,1.69435,1.87617,37.40395,1.76704,-8.00622,-0.65588,-4.16767,1.83211,-4.26251,1.90225,14.79589,1.15698,-20.90457,1.81322,3.12139,1.86811,14.8149,1.80638,4.01437,1.85612,-0.57218,1.97963,31.56482
1.79271,16.74622,1.8274,4.66164,-0.6703,-5.61947,1.73821,7.69726,1.84057,-5.8933,1.1691,-25.09612,1.7672,-4.27062,1.9189,30.62126,1.80619,1.87057,-0.64166,-9.59323,1.86778,1.5686,1.93792,-10.73986,1.17623,19.51646,1.84884,-4.99095,1.90374,6.07837,1.84204,5.75724,1.89184,1.79268,2.02236,6.58725
1.83191,14.15637,1.863,5.84015,-0.65606,8.60983,1.77385,3.8901,1.87972,4.07622,1.19045,-1.10017,1.80303,5.58697,1.96519,30.4516,1.84185,6.49049,-0.62392,7.12986,1.90696,-2.27783,,,1.19758,-1.03128,1.88801,3.35659,1.94289,6.5477,1.88122,8.81828,1.94097,-9.5623,2.06867,39.68801
1.86758,5.8343,1.90208,2.13035,-0.64183,3.3807,1.81303,5.34671,1.91535,7.82812,1.21184,-7.50472,1.85595,-4.10639,2.00792,-13.38831,1.88102,2.63404,-0.60971,5.95602,1.9426,-18.48888,,,1.21897,-0.21781,1.92365,12.36799,,,1.9169,2.60369,,,2.11141,-4.58117
1.90677,-8.96218,1.93772,-6.14061,-0.62409,-4.35672,1.84867,-15.62901,1.95451,4.95391,1.23319,-19.45919,1.89168,-28.90125,2.05422,-6.21064,1.91668,-8.1105,-0.5955,4.40093,,,,,1.24032,7.11985,1.96277,-1.46659,,,1.95606,4.23047,,,2.17693,0.19858
1.94243,2.41554,1.97691,10.18882,-0.60988,2.60419,1.88784,2.2624,,,1.2581,-12.68554,1.94081,-6.48125,2.09697,25.00357,1.95587,-0.39407,-0.58131,-0.40092,,,,,1.26524,-11.84297,,,,,,,,,2.21968,36.8935
